,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"Why do we have two Dakotas, neither of which have anything of note to offer the country, when monstrosities like Texas and California and ALASKA are allowed to exist the way they do.

Better yet, combine the dakotas and then make DC a state- boom, still 50 states, nothing changes",,CarolineSpenc,0,0,2021-06-18 06:40:10
1,"One of the largest FEMA camps is just outside Fairbanks, Alaska; a converted mental health facility that can hold well over 100k prisoners.",the internets,trutherbotnet,0,0,2021-06-18 06:40:01
2,"@WhiteTrashGal It is really something. 
We always had cool weather from the June Gloom low clouds caused by onshore wind over the Alaska Current running down the coast.
Gone almost 20 years, but still no one has AC.
100 gets hot after  few days of saturating your home.
But 123? Yikes",,FrogFather1,0,0,2021-06-18 06:40:00
3,"Pandèmic will pass but #climatechange won’t  https://t.co/mtCW5JSALx
What is happening “is far more catastrophic than a recession or pandemic.” #ClimateEmergency 
As Alaska’s Glaciers Disappear, So Goes the Rest of the Planet’s Ice
https://t.co/sNLphzr0hf",Catalunya,rpujolvives,0,0,2021-06-18 06:39:28
4,"@Alaska_Dee I try to curate my followers for their protection and my own, so it's unusual to see a mass culling like this by birdsite, though it has happened before.","San Francisco, California",ChristinaSFLaw,0,0,2021-06-18 06:39:21
5,"You should eat baked Alaska with pork chops topped with marmalade and beer to drink. And for dessert, you should have oreos!",,WatShouldUEat,0,0,2021-06-18 06:38:52
6,does alaska airlines have bob marley with an afro as their logo or is it a lion with a dudes face,Utopia,NahomG23,0,1,2021-06-18 06:38:52
7,"“… a 2019 study, for example, projected that Alaska’s vast interior forests will shift from being dominated by conifers to being dominated by broadleaf trees as soon as the middle of this century.” @JohnWeirFC","Edinburgh, Scotland",andyheald,1,1,2021-06-18 06:37:58
8,@macontedefees It’s still bright as noon in alaska if that helps make your decision,,hannahharp1,0,0,2021-06-18 06:37:41
9,@ChristinaSFLaw damn,PNW,Alaska_Dee,0,0,2021-06-18 06:35:48
10,"#Bruges #NewYork #Alaska, #DIY #Forklift Operator Training  Over 6000 Copies Sold! https://t.co/ieD3BX4UbY",New Westminster,PengNewWest,0,0,2021-06-18 06:35:02
11,"""It's time to end the government's violent, racist, and ineffective drug war.""
🧵 https://t.co/3ximiC61bM",PNW,Alaska_Dee,0,2,2021-06-18 06:34:27
12,Century in fully colonized Alaska.,Republic of the Philippines,jessyladica,0,0,2021-06-18 06:34:21
13,alaska next year 🖤,"Tulsa, OK",tanalou420,0,0,2021-06-18 06:33:51
14,"@Aira__Kami :D

This makes my Alaska vacation even better despite it being 10:30 at night and it looking like it's only 7 in the evening!",Tranzit,Fallen_Capn,0,0,2021-06-18 06:33:19
15,It's been 3 years since I've been in an airport.  Last year COVID cancelled my swim camp in Hawaii.  But here I am flying from Alaska to @IRONMANtri CDA.  I'll spend my final training days in Montana before heading into Idaho.  I'm undertrained but determined to try anyway. https://t.co/7DVG7lIxpj,"Fairbanks, AK",RachaelKvapil,0,0,2021-06-18 06:31:25
16,I'm gonna work hard on YouTube so I can make enough money so I can move out to Alaska because I'm not feeling this hot weather.,"Seattle, WA",tmossboss,0,1,2021-06-18 06:30:13
17,V (the run from Seward to Interior Alaska by way of,المنصوره,esraashawky78,0,0,2021-06-18 06:28:36
18,Alaska I’m coming to play musics for you July 1 - 7th 🥶 🥶 🥶 https://t.co/kPYD9H8NP5,"Portland, OR",PHNM,1,4,2021-06-18 06:28:20
19,Well I just went through all of the Alaska tagged videos in tiktok and need more,,nintendogkween,0,0,2021-06-18 06:28:08
20,"Familiar faces Leland Wilson and Ricky Gatter came back to haunt the Alaska Legion All-Stars as the local players led the Anchorage Bucs to a 13-3 victory in the exhibition game at Mulcahy Stadium to cap the four-day College Coaches Camp.

Read more: https://t.co/O0piG4lflr https://t.co/M9IWZWzV8H","Anchorage, Alaska",AKLegionBB,0,1,2021-06-18 06:27:56
21,I won’t stand for any Alaska slander she lived she served cunt and she continues to serve cunt,,nintendogkween,0,0,2021-06-18 06:27:37
22,Me too! I spent the great majority of my life in the two states (Alaska and Hawaii) that depend HUGELY on the PO. Most people here on the Mainland can't understand how much impact DeJoyless has had on their daily life. 😳 Or how much worse it will get if he stays. https://t.co/It0f5itlhv,Southern Washington ,carlye_hooten,0,1,2021-06-18 06:26:06
23,"Alaska Airlines grows with Boise, launching new flights and adding more routes - Daily Record-News https://t.co/uUioMPmRuq","Ketchikan, Alaska",KetchikanNews,0,0,2021-06-18 06:25:56
24,@yngichae IN MY DEFENSE UR MESSAGES TAKE THEIR SWEET TIME TRAVELING FROM ALASKA TO HERE,he she chicana ,77airy,0,0,2021-06-18 06:25:41
25,@Teslarati @KlenderJoey South hemisphere cold are much milder. Northern Canada or Alaska would be a better testing ground once winter sets in.,"🌍 For now, Mars next....",iMuhibQ,0,0,2021-06-18 06:25:35
26,6-17-21: Petting a releaser Halibut and beautiful Kings! #sitka #salmon #fish #fishing #alaska #rockfish #halibut #kingsalmon #wildstrawberrylodge #alaskapremiercharters #fishinginsitka #fishinginalaska #sitkafishing #alaskafishing #saltwaterfishing #familyfishing https://t.co/4HnQKiOFXM,"Sitka, AK",WSLSitkaAlaska,0,1,2021-06-18 06:24:18
27,"Wow I love how horrible things can go in 1 hour of life, good terms are bad now, why did I say that, school next year gonna be the worst year of mlife maybe I’ll just never see it after alaska.",Midium's house,midi_um,0,1,2021-06-18 06:24:03
28,"This project looks very interesting. I am interested, and I will support this project until it is successful
@chuck_wisnu
@Torrestoples
@rasyadsyah1

#NFTSHUSKY #BSC #Binance #Dogecoins #shibainu #ShibaSwap #AKITAINU #Alaska #DeFi #PancakeSwap #NFTCow https://t.co/vXnhdoqZUC","Kota Surabaya, Jawa Timur",rizanaudrey,0,0,2021-06-18 06:22:59
29,@losverwebs I’m watching Looking for Alaska :),,CaydenRichmond,0,1,2021-06-18 06:22:41
30,@xavi91025 Lake Clark National Park | Alaska🇺🇸😎 https://t.co/uy1zYGkIv9,Martha's Vineyar Massachusetts,ScottDorian4,0,1,2021-06-18 06:21:07
31,"Starting looking for alaska, completely forgot they did an adaptation I was looking fwd to it too lmao",,guavastrudel,0,0,2021-06-18 06:20:57
32,"@i91EILISH alaska 

REQUEST @zaynmalik @MTV #FridayLivestream",@i91EILISH,tbsxobrien,0,0,2021-06-18 06:20:03
33,oh god the editing was so shady towards max that sucks poor girl i mean ig thats why you dont touch the judges favs and play them that badly esp one of visages precious girls like sharon or alaska,° 𐐪𐑂 ♡ read carrd ! ♡ 𐐪𐑂 °,YouNesoberi,0,0,2021-06-18 06:19:17
34,@GoldenfireMJ57 @BagdMilkSoWhat If only it was real. https://t.co/9bBbhICJny,Denmark,mutter01,0,0,2021-06-18 06:17:25
35,"Thank you Mr. Bruce! @ Auke Bay, Alaska https://t.co/aIw3menW1N","Juneau, AK",ChatoFeliciano,0,0,2021-06-18 06:17:21
36,Alaska Winter Survival From A Prehistoric Perspective https://t.co/uceTfzGyjF https://t.co/0pdbHeqVBw,United States,exploretravel1,0,1,2021-06-18 06:17:04
37,@BagdMilkSoWhat Sorry https://t.co/9bBbhICJny,Denmark,mutter01,0,0,2021-06-18 06:16:35
38,"@Undergroundsar3 Most incredible thing, is the fact he got to the DIA (before CIA or FBI intercepted him) and has been hidden by them, to the point Blinken didn't know he was in the US when at the meeting in Alaska (and presumably driving the Chinese mad by his non-feigned ignorance).","London, England",jamesjsbeatty,0,0,2021-06-18 06:15:33
39,You just witnessed Alaska’s Official Pride Parade. https://t.co/AkiSkNKUn9,Biscuit Town,Dreams_on_Paper,0,0,2021-06-18 06:14:57
40,yes if cats multiply like mice or are mutated born you gotta be kinda like the brown familly in alaska,,tontuee,0,0,2021-06-18 06:11:27
41,CoinFlip Installs Its First Three Bitcoin ATMs in Alaska: The company aims to install four more ATMs in the state by the end of the summer. Read More https://t.co/2LFAbKEIcS  | https://t.co/JLNnk4SNxX  | https://t.co/FHLhKCQA7o #cryptocurrency #Bitcoin #Forex https://t.co/Qyw6nmaQE7,,eBargainsToday,1,0,2021-06-18 06:10:08
42,"@ChristyW907 Yeah. Got home from my run at 9:30. Just finished dinner at 11. It totally throws me off. (I know it's not the same, but it's like Alaska Lite.)","Pendleton, Oregon",shaindelr,0,0,2021-06-18 06:09:08
43,After Alaska are involved in the state is the erg and the War of Independence,,wandydogoll,0,0,2021-06-18 06:08:28
44,@BPortistime @BPortistime this in inaccurate for Alaska.. Bucks all the way 👍🏻,"North Pole, AK",KristaH22836515,0,1,2021-06-18 06:08:01
45,"I scored this styling fanny pack/cross body and super stoked about this new lip color (Mulberry) in these nascent days of life without a mask. 

#BuyLocal @buy_alaska",Dena’ina Ełnena (Anchorage),AmandakMoser,0,0,2021-06-18 06:06:18
46,"In addition to being a small business owner, Amy serves in the Alaska National Guard, as the President and Broker for Pfeffer Development, and mom to Annabelle! She is an incredible leader, inspiring entrepreneur and all around badass boss!",Dena’ina Ełnena (Anchorage),AmandakMoser,0,0,2021-06-18 06:06:16
47,Latest GOES 17 weather satellite infra red image (normally Alaska). See more at https://t.co/RU8aVYt6br. #weather #satellite #GOES17 https://t.co/4ecrDsvH8Q,"Auckland, New Zealand",kiwiweather_com,0,0,2021-06-18 06:05:04
48,"@AlexaMystic56 Alaska, single-handedly",The Lone Star State,StephieTheLefty,0,6,2021-06-18 06:03:57
49,"Kingfisher Alaska Fishing
https://t.co/LcSeXzxVQm 
https://t.co/tdNFTdqDvI",,spanibality,0,0,2021-06-18 06:03:25
50,Pulling an all-nighter for the summer solstice like the true Alaska local I am.,Not all superheros wear capes,makattack98,0,0,2021-06-18 06:03:18
51,Shots Fired at address: SCHIRMER ST / ALASKA AVE at time: 2021-06-18 :16:53,"Missouri, USA",911_calls,0,0,2021-06-18 06:03:06
52,@MarineInsight My most memorable was while sailing QMOW one night on CGC Confidence. We were coming out of Cross Sound into the Gulf of Alaska on a flood tide with a Beaufort scale 7 wind on our bow. I used the overhead grab bars more than once that night.,"Edmonds, Washington, USA",cleanbythesea,0,0,2021-06-18 06:02:44
53,@PFan1971 @zachzachzach Alaska should have an NBA team lowkey.,,Xqcstanaccount1,0,0,2021-06-18 06:02:07
54,@Zoom #NOtaxes in #Alaska you cannot ILLEGALLY tax people especially when everybody has LOST businesses-jobs-income SOURCES #covidKILLEDprosperity #wakeupcall https://t.co/8IGwawn6dW https://t.co/PfDMSMUKGa,🌏🌍🌎Earth,ONELONEDOLPHIN,0,0,2021-06-18 06:01:52
55,"2013, Alaska Theater, and Jiffy Lube Live. Wolf Trap hosts",wild young & reckless,MISSguiding,0,0,2021-06-18 06:01:12
56,"Here we go again, Alaska. We can do better. 

Hang in there, state workers. https://t.co/DKZN4N9YGG","Anchorage, AK",DaveSnider,1,4,2021-06-18 06:00:56
57,"I'm currently traveling in Alaska and everywhere I go I get the same line: ""We're low on this thing you want because we shut down last year for COVID and we weren't expecting so many people this season."" https://t.co/i9tiiLZsRA",,thejb_stan,0,1,2021-06-18 06:00:54
58,"Along the former Copper River &amp; Northwestern RR to the Bonanza chalcocite copper ore deposit in Alaska. Once one of the most productive mines in the country, high grade ore ran out in the 30s, causing Kennecott to abandon the mine and associated railway. https://t.co/jERxpYB8u3",Across the Harbor from Jersey,A320Lga,0,0,2021-06-18 05:59:24
59,"Just notice Where in Alaska. Had an uncle by marriage that was a Kenai homesteader, lived on the peninsula. He had sons our age. https://t.co/f3qZbpNEVf",Seattle Metropolitan Area,VeryOkboomer,0,0,2021-06-18 05:58:29
60,"Twins!🦌🦌
So blessed to live in Alaska! https://t.co/c9INlJeWZF","Alaska, God’s perfect place",KatFromAlaska,0,1,2021-06-18 05:54:48
61,"⁦@Zoom⁩ you cannot charge #taxes where there’s NO TAXES #Alaska &amp; you’re shooting yourselves in the foot as a business trying to survive #covid 

Good way to loose subscriptions don’t you think ⁦@roadsidephil⁩ ?
Alaska Sales Tax Lookup https://t.co/XUZtjw7VoY",🌏🌍🌎Earth,ONELONEDOLPHIN,0,0,2021-06-18 05:54:29
62,"Summer in Alaska, where no one thinks twice about a construction crew sawing and hammering at 10pm, and the neighbor’s lawn service just arrived to cut the grass.  🤷‍♀️ Also, the sun is in my eyes through the living room windows.  10pm, two hours til sunset.","Anchorage, AK",ChristyW907,0,3,2021-06-18 05:54:21
63,"wait so you mean i don’t get to stay in alaska forever :,( https://t.co/OTgaOmEbNF","Nebraska, USA",dehaobanban,0,1,2021-06-18 05:54:08
64,Domestic Disturbance at address: 61XX ALASKA AVE at time: 2021-06-17 23:54:57,"Missouri, USA",911_calls,0,0,2021-06-18 05:53:05
65,"Currently, 9:51 PM in Fairbanks, Alaska. https://t.co/yv4OlfBVUq",a pirate ship,winterlander,0,1,2021-06-18 05:53:00
66,Ready to take on Alaska! #PrincipalOffDuty https://t.co/JWzdVxYtmD,,amcohea,0,1,2021-06-18 05:52:55
67,"@GabeGuidarini @DrewSav Underrated for Republicans: Nevada.

Underrated for Democrats: Nothing obvious. Maybe Alaska?","Washington, DC",JoeySchmittPhD,0,0,2021-06-18 05:52:28
68,Take a look at the progress that's been made so far on several large wildfires burning across the state. The Loon Lake fire near Sterling is now 70% contained and more crews are arriving to help fight two large fires near the Tanana River. https://t.co/O3Nxb6DE9s,"Anchorage, Alaska",AKNewsNow,1,3,2021-06-18 05:52:08
69,"My 1967 Chevrolet Camaro in Kenai Alaska.
November 1966, my senior year in high school. #Camaro #KenaiAlaska 
Taken with my trusty Kodak Instamatic. https://t.co/YH3jW6H71q","Anchorage, Alaska",askboomer1949,1,20,2021-06-18 05:50:23
70,@OldTownCards But... I can fly to Seattle from Alaska for $59 so...,"Fairbanks, AK",randy_mcelhaney,0,0,2021-06-18 05:50:15
71,"@SFennic I think “Winter” depends on your perspective, as I have experienced wintry conditions at altitude in Argentina, Patagonia and Alaska in their “summer”. A log fire, glass of wine and excellent company to snuggle up with, make it all very tolerable. Enjoy your weekend Sara.🌹💖","Melbourne, Victoria",Steve98557403,0,0,2021-06-18 05:49:20
72,"The high temperature of 128F (+53.3C) in Death Valley, CA on Thursday is closer to freezing than is the all-time record low temperature at Fairbanks, Alaska, -66F (-54.4C). #cawx #akwx @Climatologist49 https://t.co/ydvZnNuD9L","Fairbanks, AK",AlaskaWx,13,47,2021-06-18 05:47:44
73,"Will Alaska be the safe haven during the zombie apocalypse?  The final book in the True Story of the Zombie Apocalypse series ""Predator"" is at bookstores everywhere! Amazon https://t.co/DACx0rT0T7 #zombies #apocalypse #book","Pittsburgh, PA",AuthorDougWard,0,0,2021-06-18 05:46:00
