,Content,Location,Username,Retweet-Count,Favorites,Created at
0,The invisible contract between British media and British royal family. https://t.co/qIXnEvcp4O,Global,meghanpedia,9,25,2021-06-18 06:11:14
1,In the 80s #Diana was the first member of the British Royal family to hug a child suffering from AIDS. Elizabeth2 didn’t like it and wished Diana picked a “more pleasant” charitable cause.,,Manchu__,0,1,2021-06-18 05:20:58
2,"Which royals betrayed the queen, which dynasty had called her to their kingdom and made English informers Which political parties r that royal family in today? British apologized to people of India When will you apologize to the traitor royals? rise above politics #RaniLakshmiBai https://t.co/nsN1ZzOzPr",,MirAsif92928242,0,0,2021-06-18 05:14:59
3,"Breaking News Today : British Royal Family congratulate Meghan Markle, Prince Harry on birth of daughter Lili
https://t.co/ce3nJooKpf",New York ,bgdreporters,0,0,2021-06-18 04:04:37
4,@NG12209389 @veteran_little @ColseyPauline Blame the corrupt British establishment they have done this to us for decades chipping away at our rights with free legal aid taken away .They know their illegal imports hate us this is divide &amp; conquer as they hate us themselves &amp; the Royal family hate us .,,atillaw1,0,0,2021-06-18 03:35:29
5,"guys ill be real simple here, I think the british royal family is like a drunken abusive stepfather to the rest of the world... im the kid who sees the whole corrupt thing and I turn 18 (35) in 3 days and I'm about to deal with it myself you pussies",,PaulEMclaughlin,0,0,2021-06-18 03:22:07
6,I WONDER IF THAT NEW LANGUAGE I STARTED SPEAKING IN FRONT OF THAT GROUP OF PEOPLE WHO WAS GETTING READY TO KILL ME IN MY PARENTS BACK YARD LONG AGO WAS THE ENGLISH LANGUAGE? I WONDER IF THEY SOMEHOW BECAME THE BRITISH ROYAL FAMILY IN TIME WHERE ENGLISH IS KNOWN FOR BEING SPOKEN?,"Middletown, OH",SONOFONEANDNONE,0,0,2021-06-18 02:35:43
7,"#Sussexsquad, if you don’t want to see the paid British 
Royal Family Tag follow these steps:
Go to settings➡️Privacy and Safety➡️Content you see➡️Interests➡️Unclick British Royal Family tag",Earth,jared_secret,3,20,2021-06-18 01:46:13
8,British Royal Family: Can You Take The Kensington Palace Stamp Quiz? https://t.co/xeFMRX6shw https://t.co/EBF3CdNnVb,"Michigan, USA",JarCeleb,0,0,2021-06-18 01:38:43
9,"sashabeauty87:To anyone who didn’t know the British Royal Family (yes, that includes Will and Kate as well) have always learned towards the Right Wing/Conservative/Tory Party in the UK. They use the Tory Party in that country as a support... https://t.co/SrcxJJGH9G","New York, NY",MontecitoRoyal,0,1,2021-06-18 01:19:02
10,"The invisible contract clearly at work. There was a hate campaign waged against Meghan during her time in the UK by the British media with the full complicity of the Royal Family. She was never welcome and therefore never protected. It's so plain to see. Also, the BRF are Tories. https://t.co/2RmOdLoFqj","England, United Kingdom",TeamSussex,5,12,2021-06-18 00:54:14
11,"@toryboypierce Apparently so otherwise you wouldn’t be tweeting about her OBSESSIVELY.
Meghan is a GLOBAL SUPERSTAR ... thanks to the lack of foresight and foolishness of the British media and Royal Family.         🤣😆🤣😆🤣😆🤣😆🤣😆🤣",,culvercitycutie,0,0,2021-06-18 00:17:30
12,"@JoeBiden and his wife did not follow the protocol of meeting the #Queen of Britain.

.According to the customs and protocol of the British court, the queen and members of the royal family ‌ should not wait for the guests and come to the place after the presence of the guests. https://t.co/O8QZPCAIXL",England.Manchester,MichaelCl24,0,0,2021-06-18 00:08:00
13,"@BritishHarley @RoyalFamily @ClarenceHouse @KensingtonRoyal It's intolerable that the disgusting ""H"" &amp; ""M"" are allowed to get their way. They should be excluded from all events--incl./royal events--because they've abandoned Queen &amp; Country, maligning the British Royal Family with malicious falsehoods. They are greedy, jealous &amp; spoilt. 2/",My Library: Classics Art Music,BeeWilde2,0,3,2021-06-17 23:47:37
14,@grosgrain @scobie This is about coverups and the symbiotic relationship between the British Royal Family and the British Media. Omid is merely reporting a story.,Downtown,RatedArrrrrr,0,13,2021-06-17 23:46:20
