,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"Black-owned marijuana growing, processing facility coming to Inkster... /// READ NEWS @ https://t.co/P2vgGTbu2r #420News #Marijuana #Jobs #Cannabis #Careers #JobBoard #JobHunt #JobSearch #HiringNow #Job #Career #Work #CBD #Hemp #THC #Weed #MJCC",United States,420JobsCareers,0,0,2021-06-18 06:30:15
1,Data Suggests That These Techniques and Tactics Will Lead to the Most Resonant Engagements With Your Customers As They Navigate Their Way Out of An Uncertain Period ~ https://t.co/jFHjPXSbGz #LinkedIn #SocialMediaMarketing via @LinkedInMktg,"Indore, India",weblinkspark,0,0,2021-06-18 06:30:11
2,"The business climate remains mixed, but the majority of managers surveyed indicated that the pandemic has created opportunities for expansion and growth &gt;&gt; https://t.co/9edOPoyFOB @RobertHalfUK @BurningGlass #skilled #worker #upskilling #employee #hybridworkers #business https://t.co/kSelcvXLh3",UK,UK_Wire,0,0,2021-06-18 06:30:10
3,"Integrity Health &amp; Safety supplies quality WH&amp;S products and services to numerous Australian Government agencies and has a goal to improve healthcare outcomes for all, especially Indigenous Australians.
https://t.co/aN9E5Yw2aI
#IndigenousBusiness #IndigenousHealth @Integrity_H_S https://t.co/U50Fpk2R2X",Australia,indigenous_gov,0,0,2021-06-18 06:30:04
4,"#UAE #gold shoppers do a bit of buying as prices drop Dh8 a gram in one day

https://t.co/25OxXwCRT8",United Arab Emirates,gulf_news,0,0,2021-06-18 06:30:00
5,"Top cryptocurrency prices today: Ethereum, Polkadot, Uniswap down up to 6%

https://t.co/oFvNjg4lJc

#business #market #bitcoin",,factiive,0,0,2021-06-18 06:30:00
6,"Goldsmiths want the #TamilNadu government to allow them to open their workshops as they have remained without work for several weeks now
#lockdown
https://t.co/ivMqQvA4Tn","Chennai, India",THChennai,0,0,2021-06-18 06:30:00
7,"@ACH00E Big news!!

I've expanded my business into helping other businesses! 

I am offering several courses and one on one help!

You can take my courses on:
Self Publishing 
Starting a podcast

Or hire me for one on one help! 
Contact me today to learn more or click the link in",,gangstamovement,0,0,2021-06-18 06:29:56
8,The GB News boycott is a turning point: business must end its woke campaigning or it may not survive the backlash' | via @telegraph https://t.co/NadXF1jtmr,England,charro_ch,0,0,2021-06-18 06:29:48
9,Just posted: Kerry (#KYGA) – agreement to sell Consumer Foods' Meats &amp;amp; Meals business for €819m https://t.co/bH7v0tVbrk,London,ShareProphets,0,0,2021-06-18 06:29:44
10,"This #Brexit thing's going well...
https://t.co/HxruN3Wf3r","St Helens, Lancs.",the__don_,0,0,2021-06-18 06:29:41
11,🏅This year’s Olympics will be like no other. Here's how athletes from the U.S. to the Philippines are getting ready for the Games ➡️ https://t.co/GhBnKYCd1a https://t.co/zUFR0arZ5Z,New York and the World,business,2,2,2021-06-18 06:29:35
12,World Bank rejects El Salvador request for Bitcoin help https://t.co/Bs1FdsbAfu,,NewsApac,0,0,2021-06-18 06:29:31
13,"News Flash: Dong provided DIA with contents on Hunter Biden’s laptop showing information the Chinese government has about Hunter’s problems &amp; about his (and Joe’s) business dealings with Chinese entities. Again, @PulitzerPrizes worthy work by @jenvanlaar 
https://t.co/59rzvZ83mu",#God #USA #FOP #Military @CBP,mrblackwfaktv,0,0,2021-06-18 06:29:26
14,A strange news report briefly rattles the Adani Group https://t.co/x9YZUAb0vC,London,TheEconomist,1,3,2021-06-18 06:29:19
15,"‘The government said it was ""too early to draw any firm conclusions"" on the long term impact of Brexit”’

Yes, and history will look kindly on how good Fred West was at laying patios.

https://t.co/VBEG6ruFXT",West Hertfordshire,pinguforest,0,0,2021-06-18 06:29:10
16,British food and drink exports to EU fall by £2bn in first quarter of 2021 - More Brexit band news &amp; it’s only the start thanks to the moronic Brexit vote and hard line antics of Boris the Babbler and his ‘yes’ men and women! #Brexit!Bollocks #ToryShame  https://t.co/YpKxnSo446,"England, United Kingdom",_noblewriter,0,0,2021-06-18 06:29:00
17,"EDTECH NEWS

An interesting read on Fortune #Business Insight, which talks about the promising Edtech and Smart Classroom market.

To read further, click on the link below:
https://t.co/0Ra9jP9vkV 

#smartclassroom #edtech #startup #growthmindset #uincept","Gurugram, India",uinceptindia,0,0,2021-06-18 06:28:55
18,"UK food and drink exports to Europe down 47%, while exports to the rest of the world are up 0.3% https://t.co/PMPaOjPDDG. It's not very good, is it Andrew Jones MP @AJonesMP?","Harrogate, England",HedgehogCycling,0,0,2021-06-18 06:28:37
19,"Ingredients firm Kerry Gp (#KYGA) sells meat and meals business to Pilgrim's Pride for €819m in cash. Generated revs of €828m and EBITDA of €86m in year to Dec. Sale proceeds to be reinvested in the business, no special div or buyback.
https://t.co/ZHfGM4LSgl",,SharesMagIan,0,0,2021-06-18 06:28:18
20,"@Dinwoodey6 Shittttt, his sister is a nurse with mine, man wouldn’t even sign basketballs for sick kids. He had @KREM2 and other news in Spokane saying his Dads Bar Jack and Dan’s was going out of business cuz of Covid..Like he wasn’t paying for them to keep the lights on,good luck tomorrow","Woodbury, MN",JediHolmes11,0,1,2021-06-18 06:28:17
21,Avant Money to offer 30-year fixed rate mortgage https://t.co/H93PqAQ9gC,"Wicklow, Ireland",willgoodbody,0,0,2021-06-18 06:28:12
22,"Sensex Drops 179 Points; Nifty Ends Below 15,700 - S. Ranganathan @Outlookindia 

https://t.co/S683BQsl2y","Mumbai, Nariman point",LKPSECURITIES,0,1,2021-06-18 06:28:09
23,Leeds hosted @RishiSunak for the opening of the new @UKInfraBank cementing its position as Yorkshire’s powerhouse city. Congrats to @tomriordan and @rogermarshOBE and their team for making this happen. Leadership matters. #levellingup #NetZero https://t.co/Wo39McofxY,,JohnYat22684572,1,0,2021-06-18 06:28:01
24,"#IBBI plans a best practice Code for Committee of creditors @EconomicTimes 
@EtLegalworld  #insolvency #bankruptcy 
https://t.co/kRyKegatFR

 Download Economic Times App to stay updated with Business News - https://t.co/btV6HJEbHO https://t.co/zyvu9002NJ","Mumbai, India",saikatdasET,0,0,2021-06-18 06:27:55
25,Brexit bonus we were promised?https://t.co/tCITDo2ciF,Scotland,Cool_Cottages,0,0,2021-06-18 06:27:46
26,"@NiftyGranmaster PMS firm, Old Bridge Capital, bought 2.51% in Globus at Rs.495. This wd have happened the day after Sumitji alerted us! Kudos to Sumitji's acumen! #SumitBansal, #StocksToWatch #Multibaggers  https://t.co/Ydp30vVc9k",India,OverView11,0,0,2021-06-18 06:27:39
27,"#MarketsWithMC: Despite healthy earnings in FY21, these 5 stocks are at least 20% away from their 52-week high. Find out at: https://t.co/tXXedj0VXt 

(By @riteshpresswala) #Stocks #StocksToWatch https://t.co/zsx3FrHQlj",Mumbai,moneycontrolcom,1,5,2021-06-18 06:27:37
28,"3FM Business News: Worker unfairly sacked may have tribunal award cut because of coronavirus

#businessnews #iom https://t.co/fwthNyST0u",Isle of Man,3FMradio,0,0,2021-06-18 06:27:21
29,"Hyundai Alcazar to launch today to take on Safari, MG Hector Plus

BUSINESS NEWS: Hyundai is finally launching its Alcazar car on today. The Korean automaker had opened bookings for the six or seven-seater SUV early this month after a delay due to the COVID-19 pandemic. https://t.co/7ZFyxhPxtK",Jammu and Kashmir,JehlamTimes,0,0,2021-06-18 06:27:15
30,"Oh, dear. The Telegraph is raging! 🤣
Kopparberg anyone? Grolsch?
#BoycottGBNews

The GB News boycott is a turning point: business must end its woke campaigning or it may not survive the backlash' | via @telegraph https://t.co/Nh7ma2vEXo","Scotland, Europe. ",Harrytheshadow,0,0,2021-06-18 06:27:13
31,"IKEA and Sonos symphony painting speakers are on sale next month
https://t.co/Xskl4O7lY1
#BUSINESS",USA,tv6newslive,0,0,2021-06-18 06:27:09
32,"Revolut hopes to offer credit cards and loans to Irish customers by the end of 2021, its CEO said. But Nikolay Storonsky said it may be early next year before it can launch the products, with the timing dependent on it securing Central Bank clearance. https://t.co/JCwrc9acoE",Ireland,RTEbusiness,1,3,2021-06-18 06:27:05
33,"More good news Vaccine boost means economy will grow twice as fast as eurozone, says CBI

https://t.co/EmVfkfkQT3","North West, England",henrywilson879,0,0,2021-06-18 06:26:38
34,"In today’s climate of uncertainty, it would be advisable to purchase a property only for self use and to refrain from speculative activity, especially with borrowed funds.

https://t.co/IhGhPb8yTC","New Delhi, India",mymoneymantra,0,0,2021-06-18 06:26:35
35,The gammon will hate this! How dare those Europeans visit Europe for a holiday!  https://t.co/yxaJH8OaP7,"Ipswich, England",nallarictov,0,0,2021-06-18 06:26:31
36,"PT NFC Indonesia Tbk (NFCX), subsidiary of PT M Cash Integrasi Tbk (MCAS), joins hands with PT SiCepat Ekspres Indonesia to enter Electric Vehicle business by forming a joint venture company, PT Energi Selalu Baru.
https://t.co/SjALXVTiUO
#idnfinancials
📷 by Google Image Search https://t.co/0RsXIrl0H7",Indonesia,IDNFinancials,0,0,2021-06-18 06:26:30
37,"The BBC goes out of its way not to put an actual figure on what this means in £s, but - after digging around to find last year's Q1 report on the Federation's website - it seems the UK has lost around £1.5 bn in food and drink exports. ➡️

https://t.co/eFY9pBfeoU","North London, near a Waitrose",FanaticRealist,1,0,2021-06-18 06:26:12
38,Triple-digit heat has singed Houston earlier than at any other time in a decade https://t.co/XDmMbChV55 via @business @tnatw,"Brisbane, Qld, Australia",poppymasselos,0,1,2021-06-18 06:26:09
39,"Creditors can't sue AirAsia X for another 9 months, says Malaysia court https://t.co/Kg8VHuABrM #Nifty #Sipgrab #UnitingPeopleWithThePossibilities","Bengaluru, India",sipgrab,0,0,2021-06-18 06:26:05
40,"Creditors can't sue AirAsia X for another 9 months, says Malaysia court https://t.co/y8F9L0kpyP",India,sameepshastri,0,0,2021-06-18 06:26:04
41,"Trade minister defends Australia deal after claims of farming 'betrayal"" https://t.co/V318vZTrN6 https://t.co/A90KbGkL6F",Norwich,edpbusiness,0,0,2021-06-18 06:26:04
42,"Trade minister defends Australia deal after claims of farming 'betrayal"" https://t.co/VPT2S4b4tR","Norfolk, UK",EDP24,0,0,2021-06-18 06:26:03
43,"Hiked Again, Petrol Nears Century Mark Pan-India https://t.co/FKxyVKPwoS","Bhubaneswar, India",otvnews,1,17,2021-06-18 06:25:57
44,"In the last week we have been contacted by ITN, Channel 4 and various print media for comment on GB NI trade.
We have told every journalist that the bigger issue is the immediate lack of #HGV drivers and meat &amp; poultry processing operatives.
https://t.co/xCWVPi46ra",United Kingdom,AIMS_Meat,0,0,2021-06-18 06:25:54
45,"BBC News: #TikTok  owner ByteDance sees its earnings double in 2020 BBC News - TikTok owner ByteDance sees its earnings double in 2020
https://t.co/t7Nk36l7Uk",Ahmedabad,dn_rath,0,0,2021-06-18 06:25:37
46,"Revolut aims to launch loans, credit cards this year.

@AdamMaguire @RTEbusiness
reports. 

https://t.co/JPmV1vLhUF",Dublin-Cork-Regional & Global,rte,0,3,2021-06-18 06:25:26
47,"Competition in the mortgage market looks set to intensify with the announcement from Avant Money that it is to begin offering a suite of long-term fixed rates, including the first 30-year fixed rate in the Irish market. https://t.co/MGBaQudpsS",Ireland,RTEbusiness,1,1,2021-06-18 06:25:20
48,"https://t.co/Z3pAWqtHiU

UK food &amp; drink exports to #EU almost halved in first three months of year. Down by 47% compared to 2020. Even worse when compared to pre-pandemic 2019 figures.

Australia is not the solution but #RejoinEU is.

#BrexitDisaster 
#BrexitReality","South West, England",librareon,0,0,2021-06-18 06:25:11
49,"Zmago Skobir, said: “I got a lot of questions about why we did it during the pandemic and the bankruptcy of our national airline. We continued as we know our business and believe in it."" #LJU

EX-YU Aviation News: Ljubljana Airport inaugurates new terminal https://t.co/meZ2folfco",,dagilis0104,0,0,2021-06-18 06:25:09
50,"""Too early to blame Brexit"" apparently, must be Covid &gt;&gt; : 'Compared with the first quarter of 2019 - before Covid became a factor - exports of cheese were down 72%; fish sales were down 52% and chocolate was down 37%.'  https://t.co/2FZ6JphCju","Saltaire, West Yorks, England",domburch,0,0,2021-06-18 06:24:53
51,https://t.co/bOUtpL764z -  Court Remands Four Accused Persons In Prison For Impersonating Environmental Officials https://t.co/nEgBHvlRJY #boove #business #economy #education #feedly #government #lagos #legal #news #niger,,tdpel,0,0,2021-06-18 06:24:51
52,UK food and drink exports to the EU 'almost halve'. https://t.co/bJh8QUZf07,Norf,alexillustrator,0,0,2021-06-18 06:24:50
53,"Bloody diesel again!
https://t.co/JJQZlk7Ivm",~/,ochostrike,0,0,2021-06-18 06:24:46
54,"As a part of our Diversity and Inclusion Strategy, Built is proudly taking part in the @cultivate_spons and mentoring program. The sponsorship involves the matching of senior leaders with emerging female leaders in our business. Find out more: https://t.co/I6ls0iW16W https://t.co/43kI5Ho4PE","Level 4, 185 Clarence St",builtAU,0,0,2021-06-18 06:24:32
55,"Sensex drops 179 pts, Nifty ends below 15,700 - S. Ranganathan 

#InvestmentIdeas #Finance #Equities #Investment #stockmarketindia #BSE #Nifty #LKPSecurities #InvestingPlan #LKPNews #NSE #LKPResearch #Trader #investors #business #StocksToWatch #Stocks

https://t.co/usWMkaELoB","Mumbai, Nariman point",LKPSECURITIES,0,0,2021-06-18 06:24:26
56,"#MCPro | As economic activity buzzes again, cement companies are turning more optimistic about their financials. Which midcaps are cementing their position further? ( by @Sach_pal) 

#MarketswithMC #Midcaps 
https://t.co/7I1GCEFOSn",Mumbai,moneycontrolcom,1,4,2021-06-18 06:24:04
