,Content,Location,Username,Retweet-Count,Favorites,Created at
0,NEW: Our new COVID-19 vaccine framework—created in collaboration with @SurgoVentures and endorsed by @PublicHealth and @DukeMargolis—is a blueprint for local government and public health officials to increase vaccine coverage equitably. https://t.co/7FW4LkWafs https://t.co/FGYbv0RlzJ,New York City,ResolveTSL,1,6,2021-06-17 18:01:18
1,"@DrVasano78 Hi George,
As soon as there is an announcement from Queensland Health Officials, it will be updated on the Queensland Government website below. Please keep watching the site and we look forward to when you can come and visit Queensland: https://t.co/gndNS6kHLV","Queensland, Australia",QldGov,0,1,2021-06-17 00:39:24
2,"“Once dismissed by most public health experts and government officials, the notion that COVID-19 leaked accidentally from a Chinese lab is now under a new U.S. investigation ordered by President Joe Biden, which is also exploring whether the virus jumped from animals to humans.” https://t.co/7XVPnv90SJ","Vancouver, B.C., Canada",martinmacmahon,0,0,2021-06-15 01:32:19
3,"Once dismissed by most public health experts and government officials, the hypothesis that COVID-19 leaked accidentally from a Chinese lab is now receiving scrutiny under a new US investigation.

https://t.co/fXYIiLrjC6","Makati, Philippines",BusinessMirror,1,1,2021-06-13 11:16:00
4,"Once dismissed by most public health experts and government officials, the hypothesis that COVID-19 leaked accidentally from a Chinese lab is now receiving scrutiny under a new U.S. investigation. https://t.co/pGmgr5oFtd",Berlin,wirereporter,1,1,2021-06-11 06:43:02
5,"This really took place in a Ohio government meeting?
The legislators and public officials are the ones that should be embarrassed for allowing this to even take place!
https://t.co/pD55I5s3xu",Northern Wisconsin,sneakypete52,0,0,2021-06-10 15:02:55
6,"Once dismissed by most public health experts and government officials, the hypothesis that #COVID-19 leaked accidentally from a Chinese lab is now receiving scrutiny under a new U.S. investigation  https://t.co/4l3f6VKv68","Austin, TX",KVUE,0,3,2021-06-10 09:00:00
7,"Once dismissed by most public health experts and government officials, the hypothesis that COVID-19 leaked accidentally from a Chinese lab is now receiving scrutiny under a new U.S. investigation. https://t.co/qbVp1Tb1VC","ÜT: 38.460528,-78.828375",WHSVnews,0,0,2021-06-10 00:30:01
8,"Once dismissed by most public health experts and government officials, the hypothesis that COVID-19 leaked accidentally from a Chinese lab is now receiving scrutiny under a new U.S. investigation. https://t.co/T40zSDdZ59","Birmingham, AL",WBRCnews,0,2,2021-06-10 00:25:00
9,"Once dismissed by most public health experts and government officials, the hypothesis that COVID-19 leaked accidentally from a Chinese lab is now receiving scrutiny under a new U.S. investigation. https://t.co/VYiHXzM3ZU","Arizona, USA",12News,1,2,2021-06-10 00:15:00
