,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"""I got an opportunity to live again.""

Hospitals in the United States report a rise in lung transplants due to COVID-19. Health experts say the virus destroyed the lungs of patients with severe symptoms. 

https://t.co/DIJ4cc1B4H","Mandaluyong City, National Cap",onenewsph,0,0,2021-06-18 06:30:00
1,"Olympics: Health experts warn of Games Covid-19 threat, prefer no spectators https://t.co/p2lRADloKQ",Singapore,STsportsdesk,1,0,2021-06-18 06:21:33
2,"FACT CHECK: A viral message was doing rounds on social media claiming that using anesthesia can be life-threatening for COVID-19 vaccinated people. Here's what health experts have to say. #Covid_19 #Anesthesia #COVIDVaccination 
.
.
.
https://t.co/79acsl1HLx",India,indiacom,0,1,2021-06-18 06:20:44
3,#AHPI with @Cipla_Global - Digital Conclave - Indian Experts &amp; #Healthcare Leaders on Topic - #covidー19  Antibody Cocktail Therapy on the 19th June 2021  from 4:00 pm to 5:30 pm Register: https://t.co/U3eHYB9Q0O #health #Covid_19 #hospitals @GyaniQA https://t.co/Kxvy7Re6yN,Head Office: New Delhi Branch: Bangalore,ahpi_india,0,1,2021-06-18 06:15:27
4,"‘It will get very bad’: Experts warn on Indonesia COVID surge https://t.co/S9PB6uNYfJ via @AJEnglish

Health officials in Indonesia are blaming the emergence of the Delta variant first detected in India for a massive surge in COVID-19
@admutum",,nigelj08223325,1,1,2021-06-18 06:04:26
5,"Health and science experts say it is too early for education stakeholders to panic as the country battles the third Covid-19 wave. | @Sesona_Ngqaks 

https://t.co/chjF19w7eY",South Africa,News24,1,2,2021-06-18 06:00:41
6,"Health experts warn of Olympic COVID-19 threat, prefer no spectators

https://t.co/QeMXldRL9b https://t.co/mSIqaDQR2X",Sri Lanka,NewsIn_Asia,0,0,2021-06-18 05:59:14
7,"Olympics-Health experts warn of Olympic COVID-19 threat, prefer no spectators  https://t.co/RzIyXops6m",National Capital Region,dev_discourse,0,1,2021-06-18 05:35:26
8,"#Covid19SA The Acting Minister of Health, Mammoloko Kubayi-Ngubane, together with a panel of experts, will convene a media briefing on the progress of government efforts in the fight against COVID-19.",Midrand,JacaNews,0,6,2021-06-18 05:30:22
9,"“If we aren’t going to enforce mandatory vaccination for frontline workers then we need to bridge the possible 24-hour gap where tests are done but results are pending,” said Dr Ian Norton, a former head of WHO’s emergency medical team.
https://t.co/LNOMTjeT9U","Noosa Heads, Queensland",global_respond,0,0,2021-06-18 05:07:31
10,"Olympics-Japan health experts warn of Olympics COVID-19 threat, say no spectators the least risky  https://t.co/slddU9XFCC",National Capital Region,dev_discourse,0,0,2021-06-18 04:52:14
11,“Experts agree the biggest threat to Canadians at the moment isn't variants — it's not being vaccinated at all.”  https://t.co/DCM6QHi5hY,"Alberta, Canada",SeeMackTeach,0,1,2021-06-18 04:50:11
12,"It is unclear whether such a probe will ever happen, though a privately sponsored team of public health experts is already laying the groundwork for one. 

https://t.co/1ocZ4Yu33s","Birmingham, Alabama",CBS_42,0,0,2021-06-18 04:38:00
