,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"Marjaniek Wedding Venue &amp; Guest House offers an ideal venue for weddings and private functions Strict COVID-19 protocols are followed for all weddings and functions.

Call us on 083 627 2511
Email info@marjaniek.co.za
Website https://t.co/Bg3CygSMSm

#wedding #weddingvenue #bride https://t.co/VIdM1d5j5U",Rustenburg,Marjaniek45,0,0,2021-06-18 06:30:18
1,"@SayanKhanAITC Need help, 
please retweet

My father's both kidneys are fail. He is on dialysis from last year.
All my income sources are down due to crisis.
Your 10 rs help is very valuable for me.
Gpay - 8779893273

#PMCaresFund  #help #coronavirus 
#Share #Covid_19 
 https://t.co/8XT1VYxliS",,ShlokDas2,0,0,2021-06-18 06:30:18
2,"Increase of early syphilis cases during the COVID-19 pandemic in the Czech Republic

Freely available here 👉 https://t.co/TpY6KPDiV0 https://t.co/g2LX0vCJyR",Worldwide,STI_BMJ,0,0,2021-06-18 06:30:17
3,"@Erminial8 @kayleighmcenany Less than 35000 die from the flu yearly. 600,000 have died from Covid-19.  Educate yourself. Simple search.",,KetzLisa,0,0,2021-06-18 06:30:15
4,"ICYMI: Raj Verma asks, ""Have a Disastrous COVID-19 Response and Loss in West Bengal damaged 'Brand Modi?'""

https://t.co/emkkvPCtZA","Washington, DC",SAVoices,0,0,2021-06-18 06:30:15
5,"Deloitte’s annual revenue fell by 7 per cent to $2.31 billion over the last 12 months as it dealt with weak trading conditions brought on by the COVID-19 pandemic.

https://t.co/HOidWmh6dz","Sydney, Australia",AcctsDaily,0,0,2021-06-18 06:30:14
6,Saluting the Karnataka government’s initiative to observe Mask Day on every 18th June. Wear your mask and stop the spread of COVID-19. https://t.co/LI9U5vY7KO,,everacabs,0,0,2021-06-18 06:30:14
7,"Latvian gambling venues reopen after Covid-19 shutdown
Friday 18 June 2021 - 7:30 am
https://t.co/MO9qZhDfOQ

Latvian regulator Lotteries and Gambling Supervision Inspectorate has confirmed that all land-based gambling venues across the country are now permitted to reopen... https://t.co/s3ppmXjAUp",Everywhere,betcompanies,0,0,2021-06-18 06:30:14
8,Numark launches 'heart health' pilot across member pharmacies after study finds a third of UK adults feeling 'unhealthier' after start of Covid-19  https://t.co/yTkP3cOszf https://t.co/LxV3Q8JkXC,UK wide,QualityLS1,0,0,2021-06-18 06:30:13
9,"@imfulara Need help, 
please retweet

My father's both kidneys are fail. He is on dialysis from last year.
All my income sources are down due to crisis.
Your 10 rs help is very valuable for me.
Gpay - 8779893273

#PMCaresFund  #help #coronavirus 
#Share #Covid_19 
 https://t.co/8XT1VYxliS",,ShlokDas2,0,0,2021-06-18 06:30:13
10,"As confirmed cases of the Delta variant of COVID-19 continue to rise in Alberta, there are conflicting statements regarding how effective the first dose of vaccine is at protecting against severe outcomes of infection. @StephThomasCTV  https://t.co/ELkWk3YuWE","Calgary, Alberta, Canada",CTVCalgary,0,0,2021-06-18 06:30:12
11,Waterloo Region's COVID-19 vaccine rollout is speeding up as officials rush to contain the spread of the Delta variant.  https://t.co/QZo0GzoEmc,"Kitchener, Waterloo, Cambridge",CTVKitchener,0,0,2021-06-18 06:30:11
12,"Here are some additional measures from the centre: cash relief of 1500 INR, counseling support and vaccination support. #Covid_19 #PrideMonth 
https://t.co/bicJx2DTiO","Tezpur, India",Mayuri_tezpur,0,0,2021-06-18 06:30:11
13,"If you have changing needs due to the COVID-19 pandemic, or planned moves for 2021, let’s talk. Our priority is to help where we can. https://t.co/Lln4yETqVk https://t.co/SjzlcfC815",,BTR_Intl,0,0,2021-06-18 06:30:11
14,"The most common measure was cash relief. Here's a report about Tamil Nadu. 
https://t.co/DK4G2gDWYs","Tezpur, India",Mayuri_tezpur,0,0,2021-06-18 06:30:11
15,"Miniature engineered antibodies could potentially treat cancer and COVID-19, along with its emerging variants. A potential source for these nanobodies? Llamas. https://t.co/WTK4VrwErh",Between gluons and galaxies,DiscoverMag,0,0,2021-06-18 06:30:10
16,"#PrideMonth2021 
While #spherestandards talk about consulting #LGBTIQ + individuals, I just did a basic Google search to see what Indian states were doing the #Covid_19 humanitarian crisis. 1/n https://t.co/gboXAEt291","Tezpur, India",Mayuri_tezpur,0,0,2021-06-18 06:30:10
17,COVID-19: Peoples’ response and myths -did we learn anything? https://t.co/6u67fHHe8v,Brussels,CriticalNewsEU,0,0,2021-06-18 06:30:07
18,"PM Shri @narendramodi ji has launched the visionary ‘Customised Crash Course programme for Covid 19 frontline workers’. The programme will go a long way in equipping our frontline warriors with technology and requisite skills as #IndiaFightsCorona
@PMOIndia https://t.co/S5nBovzw8C","Alipurduar, West Bengal ",RishabBjym,0,0,2021-06-18 06:30:07
19,"Vitamin D and #COVID19 susceptibility and severity
https://t.co/HIM0sh3ehp https://t.co/2mOQVOVkne",United Kingdom,univadisUK,0,0,2021-06-18 06:30:07
20,"@NadeemNaqviNNg Need help, 
please retweet

My father's both kidneys are fail. He is on dialysis from last year.
All my income sources are down due to crisis.
Your 10 rs help is very valuable for me.
Gpay - 8779893273

#PMCaresFund  #help #coronavirus 
#Share #Covid_19 
 https://t.co/8XT1VYxliS",,ShlokDas2,0,0,2021-06-18 06:30:06
21,COVID-19: Peoples’ response and myths -did we learn anything? https://t.co/iEIhdvHVcx,,europeansting,0,0,2021-06-18 06:30:05
22,"COVID-19 in Niger – COVID-19 Low – Level 1: COVID-19 Low – Travel Health Notices | Travelers’ Health. 
... https://t.co/XCBj9Z3KTn",USA,DiasporaEngager,0,0,2021-06-18 06:30:05
23,"COVID-19 in Niger – COVID-19 Low – Level 1: COVID-19 Low – Travel Health Notices | Travelers’ Health. 
... https://t.co/zXQdC3n64C",,DiasporaNews123,0,0,2021-06-18 06:30:04
24,"""The power of social media is that it forces necessary change.”

Host Shuchir uses social media as a force of good and has helped hundreds of people by amplifying Covid-19 requests and arranging necessary resources, inspiring many others to do the same.

https://t.co/uRpFOEUjkX https://t.co/bo3FD3tOPU",India,Airbnb_in,0,1,2021-06-18 06:30:03
25,Travel expert shares tricks for your next trip as COVID-19 restrictions ease https://t.co/vFDeid8ter,United States,transworldtr,0,0,2021-06-18 06:30:02
26,Ramifications of COVID-19 on the Long-Term Strategies of Financial Institutions https://t.co/QibFJaf363,Global,GBAFReview,0,0,2021-06-18 06:30:02
27,"Important - Since 04:00 on 15/01/21, it has been mandatory for all passengers travelling into the UK to have a pre-travel Covid-19 test., More info: https://t.co/d47yAbrjE8",Dover,POferriesupdate,0,0,2021-06-18 06:30:02
28,Saluting the Karnataka government’s initiative to observe Mask Day on every 18th June. Wear your mask and stop the spread of COVID-19. https://t.co/H1UknxAE0L,,e_prakriti,0,0,2021-06-18 06:30:02
29,Myth: The COVID-19 vaccine is less than one-in-one million.,,VaccineMyths,0,0,2021-06-18 06:30:02
30,State: 232 additional Hoosiers diagnosed with COVID-19 https://t.co/oWURQKbRYN,"Columbus, Indiana",therepublicnews,0,0,2021-06-18 06:30:01
31,"@IndianPinnacle Need help, 
please retweet

My father's both kidneys are fail. He is on dialysis from last year.
All my income sources are down due to crisis.
Your 10 rs help is very valuable for me.
Gpay - 8779893273

#PMCaresFund  #help #coronavirus 
#Share #Covid_19 
 https://t.co/8XT1VYxliS",,ShlokDas2,0,0,2021-06-18 06:30:01
32,"I wake up every morning, thankful for the “significant amount” of research that John Stockton has done into COVID-19 https://t.co/YX9ovuIUZ5","Seattle, WA",BenAnderson10,0,0,2021-06-18 06:30:00
33,".@Justin_Ling: ""Discovering, with absolute certainty, the exact origin of COVID-19 may be impossible. But it is crucial that we let science, not hype or anxiety, determine the possible scenarios.""

#COVID19 #LabLeakTheory #LabLeak #ChinaGate

https://t.co/aF7QUUahqH","Stockholm, Sverige",ThePokermask,0,0,2021-06-18 06:30:00
34,The PRC: Bradford team would like to thank all our trial participants who are taking part  in the Novavax COVID-19 vaccine trial. #Red4Research https://t.co/j0B5HLpteT,"Bradford, UK",PRCBradford,0,0,2021-06-18 06:30:00
