,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"#3 Jack Parsons associated with the California Institute of Technology, was one of the principal founders of both the Jet Propulsion Laboratory [JPL] and the Aerojet Engineering Corporation.

Parsons spoke for hours with Wernher von Braun in phone correspondence about rocketry. https://t.co/LSH6shVc6E",,DecoderOfTruth,0,0,2021-06-17 22:15:04
1,"@jacksfilms #YIAYfact Did you know that recent studies done by students in the California Institute of Technology have shown that drinking your own piss can help increase your height? Appearantly humans who on average, consumed more urine (and fecal matter) showed a higher rate of growth.",,omen_db,0,1,2021-06-17 19:10:53
2,"@MoonOverlord @PepeXBT Smartest guy I knew in high school was a complete genius, went on to study proton radiography at California Institute of Technology and his research helped a team win a Nobel Prize.  Anyways he went on to be a meth dealer and died in a hail of bullets.",,pew_pew_peeeeew,0,10,2021-06-17 17:07:03
3,"@NsSchussler Hier die anderen
    Oxford (UK)
    California Institute of Technology (USA)
    Cambridge (UK)
    Stanford (USA)
    MIT - Massachusetts Institute of Technology (USA)
    Princeton (USA)
    Harvard (USA)
    Yale (USA)
    Chicago (USA)
    Imperial College London (UK)","Bonner, naturalisierter Bayer",Glonntaler,0,1,2021-06-17 16:07:15
4,"What America’s dramatic COVID turnaround can teach India:

Prof. Prateek Raj, faculty from the Strategy area at IIM Bangalore, and Dr. Anjul Khadria, an Indian biochemical scientist at the California Institute of Technology (Caltech), (1/2) https://t.co/pTYXaoSe2g","Bengaluru, India",iimb_official,3,8,2021-06-17 09:34:24
5,"Computers Predict People's Tastes in Art (Acm)

Researchers at the California Institute of Technology (Caltech) used a program to predict pe...

Add your highlights:
https://t.co/sRYZHrciy1
 #DigitalLife #digital",Internet,DigitalLife_b,0,0,2021-06-16 17:20:08
6,"Meet the new patent trolls:

- Brown University
- California Institute of Technology (Caltech)
- Columbia University
- Cornell University
- Harvard University
- Northwestern University
- Princeton University

Time to cut those public research grants.

1/2

https://t.co/sMuXsjrHA4","Houston, TX",akpoff,1,2,2021-06-16 14:00:07
7,"Laboratory Manager – California Institute of Technology – Pasadena, CA: The Laboratory Manager will coordinate laboratory activities in a biocircuits laboratory, which carries out work in ... #la #biotech #jobs https://t.co/pj3vnMxYfD",,LABNJobs,0,0,2021-06-15 23:34:44
8,"CSTruth! @nick_bombard 

U.S. News &amp; World Report ranked the top 10 universities by starting salaries for new graduates.
 
1. California Institute of Technology
2. Massachusetts Institute of Technology
3. Carnegie Mellon
4. Stanford
5. Thomas Jefferson University
#CSTruth https://t.co/31msL4RQ0c",,ImCollegeSoccer,0,11,2021-06-15 14:23:02
9,"Want to apply for a student visa with these top USA' universities 
Massachusetts Institute of Technology (MIT)
Stanford University
Harvard University
California Institute of Technology (Caltech)
our expert team will help you in achieving your goal.
https://t.co/xnESUDbDtj https://t.co/PORo0EVnZK",Delhi,immivoyage,0,1,2021-06-15 11:04:46
