,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"@JessDuntno @Kintsugi_Ken @DrMikeStanton compete with an existing essential monopoly &amp; take on the responsibility for all the potential wildfires. Competition doesn’t solve this problem because the upfront cost of digging up all the roads in 70,000 square miles of California to put in new pipes and wire is way too high.",Vatican City,notScotPollard,0,0,2021-06-18 06:34:42
1,"The Chico Fire Department and Cal Fire officials are responding to a vegetation fire in Upper Bidwell Park. As of 11 p.m. Thursday, Cal Fire said the fire is 20 acres and 0% contained. The wind is blowing southeast at 3 mph. https://t.co/jddV9HenHg",Northern California,nsprnews,0,0,2021-06-18 06:15:14
2,"@joekent16jan19 @mattgaetz @DrPaulGosar @mtgreenee So... You look up to a child trafficker, a Seditionist, and a loony conspiracy theorist that believes Jewish Space Lasers started California wildfires?",Alpha Draconis IV,DevinsOverlord,0,0,2021-06-18 05:59:36
3,The West has all the ingredients for another terrible wildfire season  https://t.co/yidKLYFQXo via @voxdotcom,SF Bay Area,CrowdedHead,0,0,2021-06-18 05:35:14
4,"6/17/21: This footage shows incarcerated firefighters from the CDCR Conservation Fire Camp Program. As of May 2021, approximately 900 fire line-qualified inmates are ready to help with the extremely dangerous job of fighting wildfires in California. https://t.co/yyYX0ZJbRS https://t.co/gz2DPuZxfw","Phoenix, AZ",azinreallife,0,0,2021-06-18 05:27:09
5,"California #Incidents, #Accidents #Wildfires (NOT asking for more, thank you)!
https://t.co/shMZ8lA1n4",Northern New Jersey,TweetPammy,0,0,2021-06-18 05:04:11
6,"Everyone: climate change causes wildfires. 
California: Our utility company causes wildfires. #PG&amp;E",SV ,Exiled_Girl,0,3,2021-06-18 04:37:59
7,"“We’re still a long way out from the peak of the wildfire season and the peak of the dry season,” said Daniel Swain, a climate scientist at the University of California, Los Angeles. “Things are likely to get worse before they get better.”
 https://t.co/86VXHPb35p",Left Coast,ciaolimoncello,0,0,2021-06-18 04:36:20
8,"@VaceTemper @sfchronicle California has potential for wildfires, idiot.",CA,PeopleRWeird_,0,4,2021-06-18 04:19:43
9,"E36 👀

-- New FTC Chair @linamkhan
-- Costs &amp; benefits of breaking up big tech
-- @jonstewart's Wuhan Lab bit on @StephenAtHome
-- COVID's psychic shadow
-- California wildfires

🎧: https://t.co/3UtCxbFqLE
📺: https://t.co/IljRGq5lKK",The Poker Table,theallinpod,9,144,2021-06-18 04:13:22
10,"@EpochTimes Climate change is going to kill California.  Drought and wildfires getting worse each year, it's no wonder they're leaving.",,TheoAnonis,0,1,2021-06-18 04:06:05
11,"In recent yrs, the slippery salamander has proven remarkably resilient to heat, drought &amp; even wildfires, owing to...unique adaptations. They can shut down for months or even years at a time, &amp; one species can ride out dry spells in a protective sheath.""
https://t.co/EYWF5NUN0p",United States,blueplanetwatch,1,0,2021-06-18 03:53:09
12,"Please be prepared; and take climate action. Historic heat wave in West intensifies in California, wildfire dangers increase https://t.co/hOspO3sywi","Merced, CA",rbalesuc,0,0,2021-06-18 03:45:57
13,"Full sanctuary.  When we look at what Jesus said about the least of these, conforming to the pattern of this world, be fruitful and multiply(Alaska is losing its wildlife and the region is considered tropical) when California has wildfires every year, the gulf of Mexico has been",,JasonNo62223895,0,0,2021-06-18 03:40:47
14,"The incarcerated women battling wildfires: Incarcerated people comprise up to 30% of California’s wild land fire crews. At the time Lowe reported this book, around 200 of these firefighters were female.  https://t.co/JkF9T4HQz6",United States,dogyears,0,0,2021-06-18 03:39:33
15,"[3/7] 🥉Air attack, How California uses dozens of aircraft to battle wildfires https://t.co/Od8zSE1FXp Bronze medal  #Malofiej #Malofiej29 #infographics",Singapore,TmarcoH,0,0,2021-06-18 03:37:28
16,"@starpeoni ifkr how many wildfires could've been prevented if they'd just get their shit together. i hate this company so much. i wish southern california edison would just become ""california edison"" 😭 like eat the rich, but i actually miss SCE.",vietnamese-chinese american,prisillysaurus,0,0,2021-06-18 03:28:48
17,"One could definitely (&amp; successfully) argue that this applies to using wrongfully incarcerated people to fight wildfires or make license plates, too. 

*cough* California *cough*",Southern California | 🏳️‍🌈 |,brett_doe,0,0,2021-06-18 03:19:12
18,https://t.co/Kp6xogrUlC get THE BRAVEST TREE to tame a tough summer - by Marian Hailey-Moss #wildfires #PlantBasedFood,New York City,MarianHailey,0,1,2021-06-18 03:11:25
19,"The drought has strained water supplies throughout the West, shriveling reservoirs. In one California lake, the water became so shallow that officials identified the wreckage of a plane that had crashed into the lake in 1986. https://t.co/rU6HsGEGur","Stratford, Ontario",JaanPill,0,0,2021-06-18 03:07:49
20,@Bewickwren @stuartpalley Your welcome! Yes it is pretty interesting that they’re combustible especially knowing that the California deserts aren’t really known to having much wildfires!,"North San Diego County, CA",firewatcher,0,0,2021-06-18 03:04:18
21,"It's a billion degrees in many places, Texas's ERCOT is asking folks to conserve electricity, California is dealing with drought issues, wildfires are breaking out, and there's a storm brewing in the Atlantic. 

It's still spring, y'all. https://t.co/xDpxPn0lDr",Earth,KRenaeP,0,6,2021-06-18 02:33:38
22,@IHGhotels Looking forward to my vacation next month in California. The wildfires will not scare me.,United States,MeetMrSmart,0,0,2021-06-18 02:05:23
23,.@kicklikeagirl1 explores the benefits and drawbacks of California’s inmate fire program in her book “Breathing Fire”. Read our #BookReview here: https://t.co/M2VUaSVgkZ,U.S. West,highcountrynews,9,18,2021-06-18 02:03:00
24,"In the town of Mammoth Lakes, which is surrounded by parched forests, people are deeply concerned about wildfires this summer.  https://t.co/L67VZamraz @undarkmag","Phoenix, Arizona",ByIanJames,9,15,2021-06-18 01:53:09
25,"@_Gravedigger__ Wind turbines aren't the answer. Too many slaughtered owls and raptors. Hydro, when reservoirs don't dry up, and effective use of solar. California has lost more acreage to wildfires now than in all of last year. What a selfish legacy for our children if we shrug and do nothing.",U.S.,3bogart,0,1,2021-06-18 01:41:32
26,"This chart of the 20 largest #wildfires in modern
California history vividly illustrates the terrifying
trend of fire in the state.

When it was prepared, last fall, each of the 2020
fires on the list were still burning. https://t.co/GsFYcZIKnQ",New York City,Juzwik,3,1,2021-06-18 01:37:42
