,Content,Location,Username,Retweet-Count,Favorites,Created at
0,Robert left us far too early. I enjoyed my time with him at Georgetown University. He was an outstanding classmate who made each day better. Prayers to his wife and children. May his memory be a blessing to all who knew him. https://t.co/RGDRLjsofm,"Vienna, Virginia",HerbCarmen,0,1,2021-06-18 04:22:26
1,"William Lane Craig, Biola University and Houston Baptist UniversityMark Murphy, Georgetown UniversityTyler McNabb, Houston Baptist","Boston, MA",AAR_REPROGRAM,0,0,2021-06-18 04:20:03
2,"""...Even Georgetown University where Jesuit priests sold enslaved African American workers explicitly to raise money to continue the university’s operations at least had a prior institutional history without such direct entanglements with slavery..."" #AuburnWorldHistory",,MvP6264,0,0,2021-06-18 03:53:30
3,2021 Senior Shoutout: Jack B. He graduated from Loyola High School and is committed to swim at Georgetown University. He started swimming at age 6 because his parents wanted him to learn how to swim. His favorite event is https://t.co/KiDhqMpSrm,"Torrance, CA",swim_torrance,0,0,2021-06-18 02:54:52
4,"During a forum on pandemic preparedness at Georgetown University, Fauci said the Trump administration will not only be challenged by ongoing global health threats such as influenza and HIV, but also a surprise disease outbreak.” https://t.co/hQDAeTAISa","New York, NY",ooana,2,6,2021-06-18 01:58:00
5,"HUMAN TRIAL: HIV CURE PROGRAM

Dr. Jose Bordon, M.D., PhD.
Chief Executive, Infectious Diseases Specialist
Washington Health Institute

Dr. Princy N. Kumar, M.D.
Division Chief of Infectious Diseases
Georgetown University Medical Center
Washington D.C.
https://t.co/O3pjQXWV3c",Dep't.OfHealth/Global Advocacy,drbmsg,43,96,2021-06-18 00:46:12
6,"@RoshwaldAviel @Georgetown Our university announced this requirement today, too.","Philadelphia, PA",bca1917,0,2,2021-06-17 23:44:18
7,"BREAKING: Georgetown University will require all faculty and staff to be fully vaccinated against COVID-19 by August 9, according to an email from University President John J. DeGioia (CAS ’79, GRD ’95).","Washington, D.C.",thehoya,5,75,2021-06-17 23:38:38
8,"Body cameras are once again in the news due to the lack of video in the shooting of Winston Smith, Jr. by a U.S. Marshal task force in Minneapolis. @Georgetown University professor Andrea Headly joined us Friday to talk about the limitations and promise of body-worn cameras. https://t.co/PMFOsu8Hfx","St. Paul, Minnesota",tptAlmanac,0,2,2021-06-17 22:47:00
9,"Contributors to The Intercept's story: Pentagon sources, Georgetown University professor/military contractor, Washington Office on Latin America (funded by the Norwegian/Swiss govts, Ford, MacArthur, Gates-linked Atlantic Philanthropies &amp; Open Society) https://t.co/M1tMmG1TqD",,Urine4TheirShoe,0,0,2021-06-17 22:40:23
10,"This article takes at face value the administration's claims that the map is accurate. Yet, this same map shows Georgetown University campus as an ""unserved"" area.

Broadband mapping is complicated. It's a mistake to just take the government's word for it. https://t.co/jpaY4Nv5qB","Washington, DC",SayreEvan,0,4,2021-06-17 20:47:49
11,"Thirsty Thursdays is here. Starts at 4pm and goes to close. All draft beer is $5 !! Everything on tap from Stella to Michelob.  Get out of the heat, avoid the cicadas and cool down with an ice cold beer.

Georgetown University,Dc Happyhours,American University, https://t.co/6LXUaXvGVP","Washington, DC 2218 WISCONSIN AVE NW2218 Wisconsin Ave NW, Washington, DC 20007",Wingos,0,0,2021-06-17 19:44:02
12,"Introducing our 2021 summer intern, Annabelle.

Annabelle studies economics and physics at @Georgetown University and is excited to gain hands-on business experience. Welcome to the team!

#university #business #education #internship https://t.co/sJcoyBigKS","Beverly, MA",MeridianMai,0,1,2021-06-17 19:31:49
13,"Syria, and other topics. Panelists: Shaun Casey, Georgetown University Elizabeth Dias,TIME Magazine A19-203/S19-241a F K Student Lounge","Boston, MA",AAR_REPROGRAM,0,0,2021-06-17 18:20:03
14,"@RebelAdmiral @neeuqeraflew -and future careers of low-income kids.

Take, for example, the striking finding from a new paper from researchers at Georgetown University and the University of Chicago. They analyzed a Mexican program called Prospera, the world’s first conditional cash-transfer system, which-",,Freelance_Gays,0,3,2021-06-17 18:01:10
15,"By @annalandre, Madeleine Gibbons-Shapiro, &amp; the Georgetown University Disability Studies Class of 2021

The Graduate tarot card 

For a full image description and more about the making of this card: https://t.co/idf1xob9FP 

#DisabilityJustice #DisStudies #DisCrit https://t.co/V0PwnH91jE","San Francisco, CA",SFdirewolf,8,33,2021-06-17 17:41:00
16,Learn more about our #IntegrativeMedicine and #HealthSciences program! Dr. Aviad Haramati gives us an introduction to the Georgetown University Master of Science in #IntegrativeMedicine and #HealthSciences  https://t.co/LpTur7y4TI,"Washington, DC",biomedgrad,1,3,2021-06-17 17:30:12
17,@SCrichlow The “well a lot of people in Congress really wanted this even though they didn’t pass it!” doctrine is not something that I learned at the Georgetown University Law Center.,DC,rycostello,0,1,2021-06-17 17:21:33
18,"Taking a quick hiatus from my Twitter hiatus to say I wrote a short piece on SA's social security response to COVID-19 for Georgetown University's Journal of International Affairs. It was quite exciting, hope you like it! https://t.co/3M4MBPaXGF","Cape Town, South Africa",AmandaRinquest,14,50,2021-06-17 17:11:41
19,"Episode 20 is out now! Listen to Jack Beer’s experience working through anxiety on the way to help Georgetown University’s Men’s Soccer to its first National Championship in program history!
#sportpsychology #hoyamenssoccer https://t.co/hvVLj9RBSU",United States,CloserMental,0,0,2021-06-17 16:58:43
20,Hey GULC friends. Hope to see you tonight for a great  Georgetown University Law Center program on business development for lawyers. https://t.co/dSpflUdXDm,"New York, NY",stevenylaw,0,0,2021-06-17 16:32:55
21,"In honor of #JuneTeenth2021, the Georgetown University Library is highlighting primary materials for those interested in learning more about enslavement, emancipation and African American history: https://t.co/mO2VO9Mv67.","Washington, D.C.",Georgetown,9,24,2021-06-17 16:32:14
22,"At Georgetown, June 19 also serves as a reminder of our university’s history and involvement in the institution of slavery as it marks the date in 1838 where 272 enslaved people were sold by the Maryland Province of Jesuits to enslavers in Louisiana: https://t.co/d8R1X3bhS6.","Washington, D.C.",Georgetown,5,9,2021-06-17 16:29:00
23,"For the second year, Georgetown University is observing Juneteenth as a University holiday, commemorating the celebration of emancipation in the United States.","Washington, D.C.",Georgetown,17,74,2021-06-17 16:28:33
24,"https://t.co/uf8S3658Tf ""The Legacy of UNAMID and the Future of Hybrid Peacekeeping Missions."" By Rachel Furlow,  an MSc Candidate at Georgetown University’s Edmund A. Walsh School of Foreign Service. https://t.co/QSWTJi08Bm",Global,skamugasa,0,0,2021-06-17 16:14:03
25,"After a great conversation with @CoachTreyHen, I’m very excited to have received an offer from Georgetown University! @HoyasFB @StXFB https://t.co/7e3RfPu2RD","Cincinnati, OH",BuerkleSam,6,79,2021-06-17 16:09:27
26,"Join us on Thursday June 24th at 1 pm for our Linkage Seminar Series event on Advanced Record Linkage Methodology with @amy__ohara &amp; Dean Resnick, Principal Data Scientist at @NORCNews at the University of Chicago. For more info or to register: https://t.co/cN538vFFQd",,MassiveData_GU,2,4,2021-06-17 15:47:21
27,@alqudsalarabi My son recently graduated from King’s Academy and received acceptance to pursصue an undergraduate degree in international politics with a minor in economics at Georgetown university in Qatar. What are the job opportunities for students who hold such a degree? Is their a demand,,Mustafa82163186,0,0,2021-06-17 15:43:31
28,"Former Georgetown University athlete Sari Cureton speaking before U.S. Senate Commerce Committee: In talking about women's sports, she says notice that NBA players never talk down to WNBA players--she says male athletes respect female athletes and want them to be treated fairly.","Andover, MA",McCannSportsLaw,2,9,2021-06-17 15:40:45
29,"Former Georgetown University athlete Sari Cureton: Lack of NIL rights for college athletes ""most adversely impacts students of color."" This is a point that @Ed_OBannon and others have raised and sometimes gets overlooked in the debate.","Andover, MA",McCannSportsLaw,3,8,2021-06-17 15:27:31
30,"Dr. Anthony Fauci did this presentation covering “Pandemic Preparedness” at Georgetown University on the 10th of January 2017, specifically stating that there would be a “surprise” outbreak during the Trump administration. https://t.co/Y1yW1jYUFH","Cape Town, South Africa",MattTaylorVII,0,1,2021-06-17 14:44:16
31,"Cureton, the former Georgetown women's basketball player, says the image of the university and the motivation of coaches (winning) ""is put over the interests of athlete well-being and health.""","District of Columbia, USA",RossDellenger,0,1,2021-06-17 14:36:27
32,"ICYMI - the talk by Dr. Amy Leonard (Georgetown University) on ""The Reformation of Virginity: Sex, Women, and Religion in sixteenth-century Germany."" Watch it on our YouTube channel. 
#linkinbio #fsuhistory https://t.co/09eD6bZfwB","Tallahassee, FL",History_FSU,1,3,2021-06-17 14:34:19
