,Content,Location,Username,Retweet-Count,Favorites,Created at
0,Colon Cancer Rates Have Increased: How Can You Improve Your Gut Health? has been published on Canada News Media - https://t.co/VmzXQimdF2 #news https://t.co/bM8Y3km8ys,"Toronto, Ontario",canadanewsmedia,0,0,2021-06-18 06:40:36
1,"@gverdian https://t.co/LyF6pyJr7R

Quant Health back on the cards, please?",,SubNoizey,0,0,2021-06-18 06:40:11
2,"381 healthcare workers in high risk cancer wards and long stay wards for elderly did not take any PCR test in a seven day period.
160 staff declined a test on these wards despite 9 positive staff tests in same period on these wards 
Public Health Scotland
https://t.co/S9cBQRS8iV",UK,peploewollen,0,0,2021-06-18 06:40:09
3,"""'Lovely' uni student found dead at halls of residence was 'badly let down' by mental health teams"" https://t.co/BvtQOwnP16 https://t.co/9GW2S7f028",Watford,jim_dickinson,0,0,2021-06-18 06:40:04
4,Lori Lightfoot declares racism a public health crisis and allocates $10M of COVID funding to fight it https://t.co/cPJiCoOyHC,New York,DailyMail,2,0,2021-06-18 06:40:04
5,"A fitness coach who owns a chain of gyms in Byron Bay and Bali has angered experts over his nude post glamorising an “irresponsible” act.

https://t.co/qzQqQ0oBjB",Australia,newscomauHQ,0,0,2021-06-18 06:40:00
6,"Government sets priority groups for immunization

The Ministry of Health received over 175,000 doses of the AstraZeneca vaccine that was donated by the French government #NTVNews

Details 👉 https://t.co/hn94oYkkpp","Kampala, Uganda",ntvuganda,0,1,2021-06-18 06:40:00
7,Respiratory PPE withheld from Health Care Workers resulting in deaths and illnesses - heartless cynical political manipulation of science - the appalling scandal covered here by Canadian TV news featuring @DFisman highlighted by @CPita3 + @microlabdoc 🙏 https://t.co/2HlKa0Cu20,U.K.,FreshAir_4_NHS,0,0,2021-06-18 06:39:21
8,UNITYPOINT HEALTH-TRINITY MOLINE https://t.co/4aD7LJiBtT,"Davenport, Iowa",qctnews,0,0,2021-06-18 06:39:21
9,The crucial question you should ask someone with postnatal depression https://t.co/WnRlg8l4d4 via @newscomauHQ,Australia,SavannahVielle,0,0,2021-06-18 06:39:20
10,"Public Health England revealed that some 15,893 possible reinfections of Covid-19 had been identified in England.

Reinfections are defined as people who have tested positive for a second time at least 90 days after first testing positive for the virus.
https://t.co/pQXlUkDw8W",Islington North,gard_trudi,0,0,2021-06-18 06:38:56
11,The Anne Anderson blog series is highlighting #WomenInScience &amp; health. In this blog https://t.co/bXF1llepqQ @EllaFlemyng shares her experiences working with @cochranemthds  &amp; the opportunities she sees for women in science #AnneAndersonWalk,"London, UK",cochranecollab,0,0,2021-06-18 06:38:02
12,"@MrBoonkert @RealMarkLatham 5 of the 12 cases likely caused by AZ just last week were reported as being in over 60's. Just none of those have died (Yet😬, some may still be in hospital/ICU?) Once some &gt;60s AZ deaths occur I imagine govt resolve to force AZ on &gt;60s will crumble.
https://t.co/FrBbx9rqa4 https://t.co/p6vHlPwsJx",Australia,whereisaaron,0,0,2021-06-18 06:37:27
13,"@YearRooster @2021Serenity4 @WilliamArnold45 @TJ2020landslide @curtwaldrip @ltucker8044 @matthewlipsey @Unpurgeable18 @Michael89541443 @FrodrickW @vickiethegoat @voiceofforex @ghost321 @ISafeyet @MarilynLavala @MarvinRJeffcoat @itsaboutdamnti1 @boodacat2020 @FishNGritz21 @Gitmo14 @OxmanMartin @Momto08 @kcinor @ICanPlainlySee @DorisMele @etheldaylily @Michael52068295 @LauraLeeBordas @MarcGriff89 @GerbusJames @Michel78118339 @tnolwene @RalphS24381648 @JimJohnson1955 @traveler002 @_GoodToBeZG_ @Trivett82234013 @oldtoolhound @chuckwooten @Maaa52 @abd130usa22nq @DarrellBuckne13 @SpinneyJr @Health_Hazardz @Sharklady57 @ConnorInsurance @cinarte1956 @LaughTrackItsT1 @jeffrocks60 What old news? I listened to the whole thing. Here, I was refuting something someone THOUGHT I said, but didn’t. Reading comprehension, not your strong suit.","Melbourne, Australia",Vampirology,0,0,2021-06-18 06:37:00
14,"Keep asking a new mum how she is, and don’t give up on her if she repetitively snubs you. It could save her life. @newscomauHQ https://t.co/qY2VyAYdzf",,BrookeELRolfe,0,0,2021-06-18 06:36:59
15,Doctor Irwin west end mental health team &amp; doctor Sean w Flynn all 3 visit prior to interview with review panel plus case manager Rachel cold water at west end mental health recorded I took freelance writing &amp; Journalism 1990's news editorial section magazine article published,Vancouver BC Canada,EduardRosenbach,0,0,2021-06-18 06:36:57
16,"@telesynth_hot @lindajc0606 ROYAL COMMISSION HAVE FOUND.
800 associated deaths due to incompetent  Morrison government,
Royal commission warned him and he ignored it.
Federal government sole responsibility for aged-care deaths. #springst #AUSPOL #scomoliedpeopledied

https://t.co/3IWI2HHPw2",,CrawlAussie,0,0,2021-06-18 06:36:36
17,@annodomin1 @DixitVedant @deraj_choudhary @rishibagree academic session na outdoor dept khola hoyeche https://t.co/kfTUkUecLV,,raniroyrocky,0,1,2021-06-18 06:36:26
18,"Rape is being used as a weapon of war in #Tigray “Some women were held captive for extended periods, days or weeks at a time…” Please share &amp; amplify to #EndSexualViolenceInTigray #EndRapeInWar @reesew @shakira https://t.co/C9FJiumwf5",Germany,MezgeboAshenafi,0,1,2021-06-18 06:36:18
19,Health authorities have yet to identify a link between his death and the AstraZeneca vaccine #bali https://t.co/84YOb0RjuN,Everywhere,coconuts,0,0,2021-06-18 06:36:00
20,Women's health start-up closes £4.2m seed funding round #eHealth #digital #digitalhealth via https://t.co/jaVNrkjlHD https://t.co/iSqWNefvDL,"Accra, Ghana",fredkuukusmith,0,0,2021-06-18 06:35:55
21,Mum 'trapped' at home who 'wanted to die' put on eight-month waiting list for mental health help https://t.co/im7fYCqU2D https://t.co/yAJ2FF2KVt,Leeds,leedslivenews,0,0,2021-06-18 06:35:51
22,"""I would demand the lifting of gagging orders, which prevent residents, councils and even the Health and Safety Executive from speaking out BBC  .  Who knew that such orders were part  of “British Values” on democracy?   https://t.co/pe8t0PpSd7","England, United Kingdom",jane_kenyon,0,0,2021-06-18 06:35:38
23,Covid: Disruption to surgery 'will affect millions' https://t.co/Tajk8Ie1AO,UK,carersworldlive,0,0,2021-06-18 06:35:25
24,Concerned about the latest AstraZeneca news? These 3 graphics help you make sense of the risk - Yesterday announcement the AstraZeneca COVID vaccine would now only be recommended for the over 60s has highlighted the many ways we... - https://t.co/p0e9yggKCp https://t.co/48uYZcHYxf,,iWeller_health,0,0,2021-06-18 06:35:04
25,Vaccinated Indonesian health workers who got COVID19 had high exposure to virus- expert https://t.co/kcsdcwg6fP,"Manila, Philippines",ABSCBNNews,0,2,2021-06-18 06:35:00
26,"Digital Vibes scored R35m before health dept even approved their work, committee hears https://t.co/A175LaSpO2",South Africa,Naas1Fischer,0,0,2021-06-18 06:34:50
27,"'fewer people came forward...' The #NHS officials just blame the public despite the fact that hospitals rationed diagnosis and treatment options. Try being honest about the problems we face; your customers might trust you more.
https://t.co/9gITkJ9xGv",,lrcaswell,0,0,2021-06-18 06:34:47
28,"Can negative moods be ‘contagious’?

@AdamWHunter finds out whether a recent scientific study examining how teenagers can ‘catch’ moods from friends may have potential implications for schools…

https://t.co/f194k4kGEZ https://t.co/xe9aBVFTbn",Colchester,TeachSecondary,0,0,2021-06-18 06:34:46
