,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"Jackson State University’s School of Lifelong Learning receives $8,000 grant from the Dollar General Literacy Foundation to support adult literacy https://t.co/H10sPo8odS https://t.co/pwSe5AeEBA","Jackson, MS",JacksonStateU,1,12,2021-06-18 01:07:01
1,"The FAMU football team is soon to reunite with the field this semester! Playing against Jackson State University, the game will air on an ESPN special. Stay tuned for more! https://t.co/5JUngVZCWo","Tallahassee, FL",ImJasmineButler,0,0,2021-06-17 23:39:14
2,"Mississippi Public Health Association board member, Jackson State University professor tackles vaccine hesitancy, tobacco use https://t.co/Xk2zZq0GQr","Richland, MS",SouthernLaced,0,0,2021-06-17 19:36:58
3,"School of Lifelong Learning at Jackson State University receives $8,000 grant from the Dollar General Literacy Foundation to support adult literacy https://t.co/rgwDsdCcRJ","Richland, MS",SouthernLaced,0,1,2021-06-17 19:31:19
4,Recent political elections propel Jackson State University alums to leadership positions https://t.co/XLLzkmgsbF,"Richland, MS",SouthernLaced,0,1,2021-06-17 19:21:53
5,"We are honored to recognize one of our own, Marcus Jackson. Thank you, Joshua Thompson and Marcus' teammates from '96 who make this possible. No. 25 will forever be worn with honor at Idaho State University.

#RoarTogether | #FearTheRoar https://t.co/PWH8P1nE31","Pocatello, ID",IdahoStateFB,7,24,2021-06-17 17:44:09
6,"Excited to have these schools in attendance all week watching talent from all over the country!
- Mississippi Delta
- Roane State
- Dyersburg State
- Brewton-Parker College
- Southwest TN
- University of Memphis
- Harding University
- Lawson State
- Jackson State
- MORE TO COME!","Memphis, TN",USAStadium,0,8,2021-06-17 14:50:58
7,"Let me go ahead and name my best teams!!!!!!!
1) University of Alabama (Roll Tide)
2) Mississippi State University (Hail State)
3) University of Tennessee (GO VOLS)
4)University of Mississippi (Hotty Toddy)
5)Thee Jackson State University (Thee I Love)",WHERE ELSE,IamSDCD,0,0,2021-06-17 14:07:17
8,"@BrookeObie @JamilahLemieux Still true and she is still glad she did not choose them. She is a rising sophomore at Thee Jackson State University and loves it, dyed them, got a piercing, is a free Black woman, award winning writer, and leader.",Woodbridge CT,lattegriot,0,4,2021-06-17 09:54:51
9,#JSUStrong: Chelsea and the Waddell family represented Jackson State University on Family Feud! https://t.co/R8UCCThOHT,"Jackson, MS",JSUNAA,114,315,2021-06-17 03:00:56
10,"College Student Killed Entire Family After Dad Said ‘Find a Job or Move Out’: Cops https://t.co/Xg7YhZETlw #SmartNews  Remember we were taught, if we died not in the state of grace we would go to Hell.? The Brothers at EndTimes .video have the information to save your soul",,MysticalRose3_1,1,1,2021-06-17 01:58:41
11,IN NATION NEWS... SUPER GUARD Jayla Jackson was Just offered a full ride Scholarship to “THE OHIO STATE” University. #chartclimbing https://t.co/eNV2cRdOm7,Detroit,BedrocksBest10,15,117,2021-06-17 00:16:38
12,Painter and graphic artist Sabrina Howard recently completed this beautiful mural on the side of the COFO Civil Rights Education Center building located on the campus of Jackson State University. https://t.co/NJcjD3ENBl,"Jackson, MS",JacksonStateU,31,139,2021-06-16 21:37:06
13,Just posted a photo @ Jackson State University https://t.co/vGCZ5mS7Wd,"Las Vegas, NV",BlackinSports,0,0,2021-06-16 05:14:08
14,"Keeping Up with HBCU Royals 

Congratulations to Christopher Calhoun Jr. on becoming the 5th Mister Jackson State University.

 @JacksonStateU @JSUSGA 

Post Credit: @hbcumisterandmiss 

#iheartmyhbcu #ilovemyhbcu https://t.co/oPZEm77m5T","Atlanta, GA",iHeartMyHBCU,0,0,2021-06-16 02:00:21
15,"Jeremiah Brown reported today for the 1st day of summer workouts at Jackson State University and the coaches there thought he was a ""college graduate transfer"" coming to JSU. They can't believe physically how he looks as a true freshman. #justwork #bottomlineresult https://t.co/76JkcToXA8","Tallahassee, Florida",successathletic,3,26,2021-06-15 21:56:15
16,"University of West Florida lands Jackson State University Defensive Lineman
* Vincent McIntosh III  6'2"" 300 lbs
* Shannon High School Mississippi
* Itawamba Community College https://t.co/QwDJicUtlT",Magic City ~ Birmingham ,HBCUSports1,0,6,2021-06-15 19:02:42
17,"-One of the bests to do it
-Played for two ATL Sports Teams
-Head Football Coach at THEE Jackson State University https://t.co/yBd938X6IZ",404➡️315,FreeDoc13_,0,0,2021-06-15 18:51:10
18,PSU alumnus Mitchell S. Jackson wins Pulitzer Prize | Portland State University https://t.co/NB3y8aKEbM,"24.739944,46.666625",lifeisyourstage,0,0,2021-06-15 18:14:04
19,@PSBaseballinc IM COMMITTED TO JACKSON STATE UNIVERSITY,"Charlotte, NC",ColbyGuy15,1,26,2021-06-15 17:19:00
20,"SWAC Countdown The Orange Blossom Classic
* Sunday Sept 5th  2pm CST on ESPN2
* Hard Rock Stadium  Miami Gardens Florida

Florida A&amp;M University Rattler 🐍
Coach Willie Simmons
vs
Jackson State University Tigers 🐯
Coach Deion Sanders https://t.co/c1NFw2oLon",Magic City ~ Birmingham ,HBCUSports1,39,98,2021-06-15 15:28:29
21,Shoutout to @Coach_O for speaking with me this morning. Jackson State University is a beautiful campus.,"Tuscola, Tx",GatlynCooper,12,31,2021-06-15 14:18:07
22,"2023 Ridge View (SC) power forward GG Jackson has heard from Maryland, Tennessee, NC State and the College of Charleston since the contact period began. 

📸: Phenom University https://t.co/Tk7p7Y26V3","San Diego, CA",JacobPolacheck,0,0,2021-06-15 14:06:48
23,"* Jackson State University transfer WR Daylen Baldwin commits to Michigan Wolverines  over Ohio State
* Big land for Coach Jim Harbaugh, Baldwin a Michigan native set to fill the WR position position once held by Nico Collins recently drafted by the Texans https://t.co/AijpLai8bE",Magic City ~ Birmingham ,HBCUSports1,1,13,2021-06-15 12:39:43
24,"Michigan football adds Southfield's Daylen Baldwin, former Jackson State receiver https://t.co/NQQmyXf3uw via @detroitnews","Detroit, MI",chengelis,0,9,2021-06-15 12:09:08
25,"Countdown HBCU Football Kickoff 80 Days 
* Jackson State University Tigers
* No.85 WR Kyland Richey  6'4""  230 lbs
* Cedar Hills High School Texas https://t.co/149IxVV5QH",Magic City ~ Birmingham ,HBCUSports1,3,32,2021-06-15 11:44:17
26,"Michigan football adds Southfield's Daylen Baldwin, former Jackson State receiver. Story from @chengelis. https://t.co/SfEtZE7SFc","Detroit, MI",detnews_sports,1,2,2021-06-15 09:59:56
27,"Join @donall_flanagan this Thursday, 17th June at 7.30pm, for a Teagasc Webinar reviewing wood fibre use in professional horticultural growing media with guest speaker Dr Brian Jackson of North Carolina State University.  Register here https://t.co/4PA4uH8SLF https://t.co/kQeSAdlV5r",Carlow,teagasc,0,1,2021-06-15 08:00:10
28,🖕Fuck Jackson State University in United States 🇺🇸,,fuckeveryuni,0,0,2021-06-15 06:46:18
29,"Michigan football adds Southfield's Daylen Baldwin, former Jackson State receiver https://t.co/x4kl6dCJPs","Detroit,MI USA",detroitnews,0,2,2021-06-15 03:50:33
30,"Sean Jackson #ThisIsTheWay 

_____
#MVPLEAGUE #QuarterMilerAcademy  #MVPFlightSchool #CarryTheShield @ North Carolina A&amp;T State University https://t.co/VYI6ruVyUj","Fredericksburg, VA",theMVPtrackclub,0,0,2021-06-15 03:21:13
31,"At 24 years old and from Sun Valley, CA. I have received my Master’s in Social Work from one of the largest HBCU’s in the U.S. (Jackson State University). I have joined the 4% of Latina women who hold a Master’s degree or higher. https://t.co/ooEbcYSfYZ","Sun Valley, CA",Angeliquee_5,34,215,2021-06-15 03:03:56
32,@HBCUGameday Whatcha Need Folks 😁 It's multiple ticket purchasing options @GoJSUTigersFB @GoJSUTigers  https://t.co/lE8CvK6vbr https://t.co/asEFigKOE9,United States,i_AmMyBrand,0,1,2021-06-15 02:38:28
33,Jackson State University - Leave The Door Open 2021 https://t.co/xyXkNWAlWl via @YouTube,,GliddenKarine,0,0,2021-06-15 01:25:15
34,If you go to Jackson state university hmu I need more friends down here,,Jamiyahdillard3,0,2,2021-06-15 01:18:22
35,"BREAKING‼️🏈 Mark your calendars for the ‘Soul Filled Weekend’.
Sept.25: Jackson State vs. Delta State. 
Sept.26: Mississippi Valley vs. Southern University.
Both games will be played at Veterans Memorial Stadium in Jackson, MS. @WJTV @VisitJacksonMS https://t.co/JtqAawpU8t","Jackson, MS",GaryB_WJTV,42,76,2021-06-14 21:59:39
36,Former Jackson State WR Daylen Baldwin commits to Michigan football as grad transfer https://t.co/HepW7fM0Lw https://t.co/sm95VAxZEm,"Jackson, MS",CLSports,0,0,2021-06-14 19:53:11
37,"#GoBlue https://t.co/8JMGFvTcY5 Michigan football adds Southfield's Daylen Baldwin, former Jackson State receiver https://t.co/yQbalmNqnz","Ann Arbor, MI",MICHIGANGO,0,0,2021-06-14 19:39:22
38,Former Jackson State WR Daylen Baldwin commits to Michigan football as grad transfer ⁦@KevHatesHipHop⁩  https://t.co/Z7fwTMVbbJ,,SchoolsKing,0,0,2021-06-14 19:37:26
39,Former Jackson State WR Daylen Baldwin commits to Michigan football as grad transfer https://t.co/hyXeLwbrys,"Jackson, Mississippi",clarionledger,0,0,2021-06-14 19:14:13
40,Former Jackson State WR Daylen Baldwin commits to Michigan football as grad transfer https://t.co/zbqPtM3YwZ,"Jackson, MS",CLSports,1,1,2021-06-14 19:11:09
41,Former Jackson State WR Daylen Baldwin commits to Michigan football as grad transfer https://t.co/ZdmhgtZpeZ,Detroit,freep,0,1,2021-06-14 19:07:11
42,"@NanouuSymeon My first program was a football game I wrote in 11th grade in BASIC on a TI Silent 700 terminal connected to a Jackson State University mainframe via 300 baud modem in 1977. Thanks for teaching me how, Coach Stevens. You changed my life!",Texas,ricegf,0,4,2021-06-14 19:02:47
43,"Michigan football adds Southfield's Daylen Baldwin, former Jackson State receiver. Story from @chengelis. https://t.co/IWibi6ndiM","Detroit, MI",detnews_sports,1,2,2021-06-14 19:00:00
44,Former Jackson State WR Daylen Baldwin commits to Michigan football as grad transfer https://t.co/q42n8VCtg1,Detroit,freepsports,1,1,2021-06-14 18:54:21
45,@von_lozon He transferred from Jackson State University in Mississippi.,,tierra_baldwin,0,0,2021-06-14 18:44:52
46,"@DeionSanders @CoachMathisJSU 
@datboishawn21 say he is eligible
 Let's Go!!!!! #THEEILOVE JACKSON STATE UNIVERSITY https://t.co/rte8nNZ0NM",,CedrickHull,0,2,2021-06-14 17:21:27
47,@HCWillieSimmons You need a dawg in running back 🤔 I am transferred from Jackson state university! I want to bring back the swac championship to famu,"Mobile, AL",251nfikeyshawn1,0,0,2021-06-14 16:56:43
48,I’m extremely blessed to announce I’ve received my first offer from Jackson State University!!!! @DenmarkDanesFB @CoachEB3 @HKA_Tanalski @DeionSanders @PlayBookAthlete https://t.co/px65ycqWYv,"Alpharetta, GA",GlymphTrey,22,178,2021-06-14 16:54:26
49,"Purchase your ticket to see Jackson State University in the Orange Blossom Classic!

Let’s take a moment to recognize black excellence throughout the years! Walter Payton and Jimmy Smith are JSU alumni who played in the NFL.

#OrangeBlossomClassic2021 https://t.co/cKWWTHdPFy","Miami Gardens, Florida",orangeblossomfc,5,7,2021-06-14 14:10:05
50,Deion Sanders shares HBCU student-athlete stipend gripe https://t.co/b8lBug0hu7 via @247sports,"Washington, DC",Dbandman2,0,0,2021-06-14 13:43:17
51,"""Get Ready"" Marching In - Jackson State Band Camp 2018 https://t.co/nSCZg74fuK via @YouTube   Hello Jackson State University Marching Band.  You all played that song, very well.  That is a great theme song for your school and your band.  The dancers are also always great.",,Porter_Newsreal,0,0,2021-06-14 09:06:23
52,"JSU - Get Ready [HD] https://t.co/XQonmQMvmx via @YouTube   Hello Jackson State University Marching Band.  You all sound great in that video.  Bye for now, and keep up the good work.",,Porter_Newsreal,0,0,2021-06-14 09:02:46
53,Jackson State University - Down Home Blues 2021 https://t.co/BviZRC52OM via @YouTube,"Washington, DC",Dbandman2,0,0,2021-06-13 02:01:45
54,"Jackson State University WR transfer Daylen Baldwin  receives offer from Big Ten Schools
* Baldwin recent on campus workouts at Michigan and Ohio State offered from both Schools
* Honors SWAC 2021 Spring Football First Team Offense &amp; Newcomer of the Year https://t.co/E4JjeDbWDP",Magic City ~ Birmingham ,HBCUSports1,2,19,2021-06-12 23:05:46
55,"You've seen the rest, but we're Thee Best!

JACKSON STATE UNIVERSITY! 

#THEEiLove https://t.co/lecx094hKH","Jackson, MS",1400Klub,3,25,2021-06-12 22:08:01
56,"It's a beautiful day here at Kennesaw State University where our very own Shayne Jackson, boys lacrosse offensive coordinator, and his @PLLCannons take on the @PLLWhipsnakes. #PK4L https://t.co/sRkggH3viz","Atlanta, GA",PaceKnights,0,2,2021-06-12 16:26:59
57,"Countdown HBCU Football, Special teams 
* Jackson State University Tigers *
* Punter:  Lane McGregor 5'10""  190 lbs
*  Pontotoc High School  Mississippi https://t.co/Ik8b7aNaYK",Magic City ~ Birmingham ,HBCUSports1,5,18,2021-06-12 15:45:41
58,Just posted a photo @ Jackson State University https://t.co/8OZSrX694G,DMV,svefirm,0,0,2021-06-12 15:40:21
59,11 days away from the Donte Jackson Elite Skills Camp! Come enjoy a session with the Grambling State University Staff and get a step ahead for next year! https://t.co/iqVCcCOxBC,,gmensbasketball,2,6,2021-06-12 14:38:40
