,Content,Location,Username,Retweet-Count,Favorites,Created at
0,@Rocksceramics Southern Illinois is the valley of the confluence of the Mississippi and the Ohio,"Marion, IL",BiggMattWeaford,0,1,2021-06-18 06:39:11
1,@Rocksceramics I got a brag the Mississippi is the fourth largest river in the world behind the Nile Rhine  Volga if I got those three right,"Marion, IL",BiggMattWeaford,0,1,2021-06-18 06:38:43
2,Mississippi Mass Choir - It's Good To Know Jesus https://t.co/CqYtmMgfKT,"Philadelphia, PA",GospelHighway11,0,0,2021-06-18 06:37:54
3,@Rocksceramics That's one thing about southern Illinois I just love is the rivers the two biggest rivers on the continent come together to form their confluence and turn into mighty Mississippi,"Marion, IL",BiggMattWeaford,0,1,2021-06-18 06:35:52
4,@vernellthoughts He lamer den a mother trucker for that. Him coming from Mississippi would have increased his wealth status,,_kencole_,0,0,2021-06-18 06:35:15
5,"@RepRosendale Vicksburg,  Mississippi refused to even acknowledge the 4th of July for about 70 years after the Civil War.",Beautiful NE Minneapolis ,Thrinworks,0,0,2021-06-18 06:35:15
6,@PatrickLizzy3 @What46HasDone The Mississippi law is actually very restrictive. Its a 15 week ban with no expections for rape/incest or the woman’s health. And the state only has one clinic.,,kelvin_187x,0,0,2021-06-18 06:34:54
7,"They die for that. Mississippi 📱, Louisiana ⚜️, Vermont 🐄, Washington State 🛶, and California 🐻 all have The Death Penalty for treason. That was treason against The United States of America 🇺🇸.

Source: https://t.co/tJOJF5s7xJ

@DeptofDefense @USNavy @NASA @KamalaHarris-様 https://t.co/hTPF7f2QsC","Lexington, MA ✳️ ",aki_miake,0,0,2021-06-18 06:34:44
8,"@T_S_P_O_O_K_Y @malarkeyfree @AOC @RNC The state of Mississippi didn't vote for a Republican until Barry Goldwater.  His opponent, Johnson, passed the Civil Rights Act four months before the election.  

They haven't voted for a Democrat since (except Carter?!?!)",,anotheranarch,0,1,2021-06-18 06:33:52
9,@GlassTurtle1 If you only knew what a waffle house in Mississippi is like... it shaves of more than just time. It's a garden of earthly delight https://t.co/9PN66455pM,,thetacoturtle,0,0,2021-06-18 06:31:20
10,anyone who tells you that you don't know enough black people is a white person from the northeast who thinks there are zero black people in Alabama or Mississippi,Gulf of Guinea,politicalmath,2,28,2021-06-18 06:30:41
11,@504Tman Why is Mississippi also a Tennessee fan wtf,,Bm4c608,0,0,2021-06-18 06:28:19
12,"Dozens of record highs are expected again today across the West, as well as in portions of the Plains and the Mississippi Valley. Highs will exceed 100 in many locations, with some places in the Desert Southwest topping 120 once again, https://t.co/0uwqVFuJ5d","Nashua, NH",HFSweather,0,0,2021-06-18 06:28:12
13,"Dozens of record highs are expected again today across the West, as well as in portions of the Plains and the Mississippi Valley. Highs will exceed 100 in many locations, with some places in the Desert Southwest topping 120 once again, https://t.co/qRqfnFBWJO",,TheRealStormHQ,0,0,2021-06-18 06:27:59
14,"Dozens of record highs are expected again today across the West, as well as in portions of the Plains and the Mississippi Valley. Highs will exceed 100 in many locations, with some places in the Desert Southwest topping 120 once again, https://t.co/7vyTqrmFNF","Brockton, MA",WxManScott,0,0,2021-06-18 06:27:42
15,"@justinamash @bobclendenin @charliekirk11 One party makes comments like ""I'm concerned about voter registration in Mississippi,""  the commissioner wrote. ""The blacks are having lots (of) events for voter registration. People in Mississippi have to get involved, too.""…. It’s find with a purpose….",Drifting through the universe,LCSeward,0,1,2021-06-18 06:27:15
16,"What would be better: I can always at any moment get to DEEP SOUTH(LOUISIANA, MISSISSIPPI, ALABAMA, GEORGIA)… let’s say with airplanes or something.","Tallinn, Estonia",martinpoldma,0,0,2021-06-18 06:25:37
