,Content,Location,Username,Retweet-Count,Favorites,Created at
0,HOME BASED CRAs- Regional Travel EAST COAST- CNS experience needed #NewBrunswick #Jobs https://t.co/FazTQjrcYO,,PostingsDotCom,0,0,2021-06-18 06:40:10
1,@Shenaniglenns New Brunswick implies the existence of Old Brunswick,Paris Sewers ,ClassifiedTits,0,0,2021-06-18 06:30:04
2,I hope those tiktok dudes out in New Brunswick find loads of friends and do all of the things that make dudes rock,Republic of Dave,SocialistVaultB,0,2,2021-06-18 06:06:09
3,"@BrandyLJensen i friggin wish i lived in new brunswick, they seem super chill and i love the movie twister 🌪",Pennsylvania,klawbie,0,0,2021-06-18 06:05:01
4,"Former New Brunswick radio host's new book sheds light on cancer treatment.

https://t.co/qm87oHGS9M","Vancouver, Canada ",Airchecker,0,0,2021-06-18 05:56:05
5,@josephrvn92 If I lived in New Brunswick I’d give him and his silent mate a shout I hope they’re flooded with emails x,UK,SwooshieQ,0,0,2021-06-18 05:46:13
6,@BrandyLJensen I want to go to New Brunswick and hang with these chill ass dudes.,"Brooklyn, NY",briannils,0,0,2021-06-18 05:42:21
7,Shit shit I did not return to the radio today sorry. I changed my mind and am now going to be on air Tuesdays from 2pm–4pm EDT. Yes that means this Tuesday at 2pm should tune in. 88.7 fm New Brunswick. https://t.co/xDryo3h0Go,Gowanus,emmets,0,0,2021-06-18 05:37:08
8,Good article on our risk as we hit Phase 1 and Phase 2 on NB’s Pathway to Green in 24 hrs. Makes me a bit anxious as high risk 1 jab so be interesting to see how it goes. 🇨🇦😷💉 https://t.co/8IfhNwWnUd,"Fredericton, NB, Canada 🇨🇦 ",Deb_A_Power,0,0,2021-06-18 05:20:25
9,Crash on New Jersey Turnpike Inner Roadway southbound South of Interchange 9 - NJ 18 (East Brunswick Twp) All lanes open https://t.co/o9z7su3yhY,New Jersey,511njtpk,0,0,2021-06-18 05:19:59
10,"Oh dear, Toby Kebbell! The hydrologist snatched our cucumber salad, now we'll never find love in New Brunswick...",,TweetBotCCU,0,0,2021-06-18 05:12:23
11,"Missing Girl in Fredericton, New Brunswick – Calley J Miscich, 15 https://t.co/bzaQJhckmc via @ontarionorth","Brantford, Ontario, Canada ",NormErin012785,0,0,2021-06-18 05:07:22
12,"@loggieduvs @TomWojcik Having lived a town over from New Brunswick, no you don't. We need to organize our own Operation Moses to bring those dudes to us",,phil_ius,0,0,2021-06-18 04:56:55
13,New Jersey is just one big Brunswick😂,"Brooklyn, NY",KadeemRockhead,0,0,2021-06-18 04:56:10
14,Nova Scotia caught off guard by New Brunswick border reopening,,trstdtravlr,0,0,2021-06-18 04:48:17
15,"Enjoying the late afternoon sun at our backyard @ South Brunswick Township, New Jersey https://t.co/gyKeOjnkyf","40.3898432833333,-74.58418725",artemiot,0,0,2021-06-18 04:44:40
16,@moltopopulare They seem very sweet.. pity New Brunswick is so far!,"Queanbeyan, New South Wales",DamienSverdlov,0,1,2021-06-18 04:41:00
17,Nova Scotia caught off guard by New Brunswick border reopening,,trustdtravelr,0,0,2021-06-18 04:39:40
18,Wish I lived in New Brunswick. Would be total dudes https://t.co/REe3U3QgYw,,katz_bernie,0,0,2021-06-18 04:36:28
19,"""don't have a cow, man!"" love the new brunswick guy",he/him,vtmndanny,0,1,2021-06-18 04:36:09
20,"#TheIrvings in charge in NB?&gt;#NovaScotia caught off guard by #NewBrunswick border reopening
https://t.co/gGHrobkXyJ https://t.co/XKaA3cF6pS",Canada,CometsMum,0,0,2021-06-18 04:33:37
21,"@SarahKSilverman Three of my husband's favourite foods.

Are you ordering food from a store in New Brunswick, Canada, Sarah?",Canada,TheJasonPugh,0,1,2021-06-18 04:28:29
22,@NanceDee @MichaelCohen212 @lptv Noticefd  you're in Atlantic Canada I'm working with an artist from New Brunswick,#SAG #AFTRA #resist #BLM,dreamwithfaith,0,0,2021-06-18 04:25:51
23,"N.B. parents frustrated by barriers to mental health supports for youth, says advocate https://t.co/ynPbOGLwV3 #nb #nbpoli","Maritime Provinces, Canada",RobnHood9090,0,0,2021-06-18 04:22:34
24,@geeta_minocha Honestly! I want to drive out to New Brunswick just to hang out with them,"Portsmouth, OH",TJRhacker,0,0,2021-06-18 04:16:59
25,The guy that did the post making fun of the Tiktok teens from New Brunswick looking for new friends locked his account before I could say that the teens seem nice and if I lived in Moncton I would hang out with them,"Tacoma, WA",AaronCampeau,0,7,2021-06-18 04:13:01
26,"@britboy77 you don't get it. As Trudeau stated, ""Canada belongs to Quebec"", &amp; that makes Alberta, Saskatchewan, BC, Manitoba, Ontario, PEI, New Brunswick, Nova Scotia &amp; Newfoundland, all  provinces of Quebec. If you want to stop being a milk cow for Quebec, your province must be independent",,teevee_ceo,1,1,2021-06-18 04:03:31
27,@Kattavernd FAA releases spaceport environmental impact statement The Brunswick New: FAA rel  https://t.co/1DmyP0tgLS,"Orange Walk, Belize",Belizean_bz,0,0,2021-06-18 04:01:15
28,The Walgreens in New Brunswick is just a lot lol and I’m not sure why I went in the middle of the night,Ghana,JordanAbena,0,0,2021-06-18 04:00:46
29,@AnimalsHolbox FAA releases spaceport environmental impact statement The Brunswick New: FAA rel  https://t.co/yCfFnENDmr,,AnimalCommando,0,0,2021-06-18 04:00:23
30,NS Govt - We found out about New Brunswick's border opening plan the same time the public did,"Halifax, NS",_AllanThomas_,0,0,2021-06-18 04:00:07
31,seriously contemplating flying to New Brunswick to hang out by the creek with these guys. they seem chill and lovely in the extreme. https://t.co/kbNLONgUKA,"sheptown, wv",hooraytheweird,0,0,2021-06-18 03:57:53
32,"@LShalott @lindsayfickas @molly_jasi Wait, Chatham, Ontario or Chatham, New Brunswick??","Halifax, Nova Scotia",adamundefined,0,1,2021-06-18 03:56:17
33,"NS Govt - If New Brunswick opens to all of Canada, we'll have to adapt with our border plan come June 23rd","Halifax, NS",_AllanThomas_,0,0,2021-06-18 03:54:29
34,Those New Brunswick dudes from that TikTok seem cool af.I I really hope they don't get milkshake-ducked.,"Rockford, Illinois ",Jankem69420,0,0,2021-06-18 03:53:54
35,if I'm in the New Brunswick area it's going on,🏝️🏝️🏝️,Nerkal_,0,0,2021-06-18 03:52:09
36,"NS Govt - Atlantic Bubble was an agreement with only 3 of the 4 provinces, surprised New Brunswick's risk tolerance was for more than that","Halifax, NS",_AllanThomas_,0,0,2021-06-18 03:51:57
37,@hasanthehun @kenklippenstein Going to New Brunswick y’all need anything?,,str8churlish,0,0,2021-06-18 03:38:51
38,"May rent surge in New Brunswick was province's highest recorded in 43 years:

""This is going to spark a massive housing crisis that's going to cost the public in New Brunswick a lot of money to manage. And it could have been avoided.""

https://t.co/YlQTNACUnY #nbpoli #cdnpoli","Denman island, bc, canada",ScienceTynan,2,3,2021-06-18 03:38:27
39,@hasanthehun @kenklippenstein I very much wish this was New Brunswick NJ so I could hang with them,Jersey City,J_Schneider,0,4,2021-06-18 03:31:07
40,New Brunswick travel photography https://t.co/qiNWgI12il,"North East, England",WhyEyePhoto,0,0,2021-06-18 03:25:59
41,"@eliowa @uiowa Sorry if I missed you talking about this, but do you have any thoughts on the purported ""very strong probability"" that the Delta variant is spreading via fomites? https://t.co/zFOABcYsmU",,cornbeltcat,0,0,2021-06-18 03:22:45
42,@FemboyPhilosopy Yoooo I'm in New Brunswick too I gotta find these guys, He/Him,CommFries,0,0,2021-06-18 03:15:32
43,"N.B. parents frustrated by barriers to mental health supports for youth, says advocate: https://t.co/masQGPs9yp https://t.co/8LjjQB5ewq",Fredericton,CBCNB,1,1,2021-06-18 03:08:33
44,New from me: Hundreds of seniors remain on New Brunswick nursing home waitlist https://t.co/NESNMqHDMr,"Fredericton, NB",nthlstrgn,1,1,2021-06-18 03:04:24
45,"There is excitement in New Brunswick about easing restrictions, but many book second dose appointments to ease concerns. Nick Moore reports.  https://t.co/dPgv32zaLh","Maritime Provinces, Canada",CTVAtlantic,0,2,2021-06-18 03:00:09
46,"IYCMI: Here is @jonny_mann_'s interview with the good folks over at @StephenKingRlz Film Festival! Popsy, New Brunswick/Maine border... and other scary things.

https://t.co/z63B3sSpAj","Halifax, NS",PopDemandPics,1,2,2021-06-18 02:45:07
47,@roun_sa_ville Nowhere near New Brunswick but I love their energy. Hell yeah.,"Houston, TX",WhereTheresAMe,0,0,2021-06-18 02:44:56
