,Content,Location,Username,Retweet-Count,Favorites,Created at
0,@alana21_1 Well if you have hangout add me on Hangout and I would love to see all of you and not half of you to be honest with request you can contact me on Hangout that's if you are interested. I am single originally from New Jersey but now living in miami florida.,"West Little River, FL",JeromeH88664060,0,0,2021-06-18 06:39:02
1,"@MinariPengwin @myoitings Idols have been called out and had to apology for colorist comments since 1st gen , Jessi also used to live in America ,in New Jersey where she grew up around black people she knew better",well not here thats for sure,TAECEUS,0,0,2021-06-18 06:36:23
2,i need to find my bellinger jersey or buy a new one buy thursday 😭,,leeannuuuh,0,0,2021-06-18 06:36:00
3,"@reason “Just under 53,000 New Yorkers died from COVID-19, giving the state the second-highest per capita death rate in the country. Only New Jersey fared worse.” Why did #CNN &amp; #MSNBC celebrate Cuomo’s Covid record again? How many seniors died in nursing homes because of Cuomo’s policy?",Los Angeles,compellingtalks,0,0,2021-06-18 06:34:26
4,George Floyd statue weighing 700 pounds unveiled in New Jersey https://t.co/y4Qf2STDpQ,"Lafayette, LA",KLFY,0,0,2021-06-18 06:33:15
5,@Sodawrlds Nah lmaoo😭 i just talk like that. Its a New York/Jersey thing i guess😫,Kara Hideout,ItsMeekYT,0,2,2021-06-18 06:32:56
6,"The beloved fair is set to run later this summer, complete with family-friendly rides, game booths, 50/50 raffles and more. https://t.co/KN8BOwCPi2",Red Bank-Shrewsbury,RedBankPatch,0,0,2021-06-18 06:32:02
7,@benjairish New Jersey 💀☠️,Carly Rae Jepsen’s store,themdies,0,0,2021-06-18 06:31:45
8,The Winnipeg Jets just got vibe checked by the New Jersey Devils. They passed.,robot land,nhlshitpost,0,0,2021-06-18 06:31:25
9,I'll be going down ocean city new jersey to morrow all followers accepted,,teebee232,0,0,2021-06-18 06:31:07
10,"@TPaoIucci And why the Fuck is NJ the Devils, South Jersey is Philly all the way and North is New York teams","Sicklerville, NJ",MrFire500,0,0,2021-06-18 06:30:36
11,"@BeautifullSmyle Cologne , jersey , slides , maybe new wallet ...",,CeeMoeRaccs,0,1,2021-06-18 06:29:29
12,"@amritjacob @chicagosmayor Giants and Jets play in New Jersey.  Pats play in a tiny town, Foxboro, no where near a major city in New England.",NNZ (No N***** Zone),EyeAm311,0,0,2021-06-18 06:27:48
