,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"Rankin not ready to commit $25M for affordable housing as recommended by commission | CBC News https://t.co/4fqcv7qmhZ 

Because the 100million they spent on an empty conference building for their foreign friends ....",Canada,justin_ep,0,0,2021-06-18 06:02:18
1,"From HFX Examiner: “If I ever do put together that PowerPoint presentation, one of the slides will be devoted to #AlbertBarbusci, the supposed ‘port developer’ for the Port of Sydney.” #NovaPort #corruption #cbrm #nspoli
https://t.co/5ThCqwYMMA https://t.co/zoIIGphQv4",Canada,CometsMum,0,0,2021-06-18 05:19:05
2,"#TheIrvings in charge in NB?&gt;#NovaScotia caught off guard by #NewBrunswick border reopening
https://t.co/gGHrobkXyJ https://t.co/XKaA3cF6pS",Canada,CometsMum,0,0,2021-06-18 04:33:37
3,A month ago @IainTRankin was ready to hold a world hockey tournament in NS and hasn't been able to give coherent direction since being appointed. Perhaps the unelected premier of NS should get his own ship in order before making comments #nbpoli #nspoli  https://t.co/jOUEv9P8Z4,,Bill_Henwood,0,0,2021-06-18 04:15:56
4,ICYMI: Branches Pocket Community residential housing under construction in West Pubnico | Saltwire https://t.co/e9sCFLYxZN,"Halifax, Nova Scotia, Canada",chronicleherald,0,1,2021-06-18 04:04:30
5,"Top story: Federal government backs rental housing project in Halifax | CBC News https://t.co/oatlSmH2K8, see more https://t.co/gjff6Qakyn",,SpuriousH,0,0,2021-06-18 03:07:45
6,"Nova Scotia is expecting 400,000 doses of the Moderna COVID-19 vaccine in the next few weeks. https://t.co/HdK75gyKzY",Canada,CBCNews,5,24,2021-06-18 03:00:01
7,"#ThrowbackThursday (from approx. 3 years ago): Nova Scotia Bans Declawing, Ear Cropping, De-Barking, and Tail Docking! https://t.co/r2VaR1Gw9X #Animals #AnimalProtection","Hudson County, NJ, USA",AmCuriousNJ,1,1,2021-06-18 02:31:55
8,"Algae toxins can cause rash, discomfort but unlikely to end in death, doctor says | Saltwire https://t.co/gDdR0mRqhF","Halifax, Nova Scotia, Canada",chronicleherald,0,0,2021-06-18 02:30:57
9,"Blue-green algae blight nothing new for N.S., says Mattatall Lake resident | Saltwire https://t.co/v93cFARRsn","Halifax, Nova Scotia, Canada",chronicleherald,2,0,2021-06-18 02:16:10
10,Retired Pictou teacher pens The Makers’ Canvas | Saltwire https://t.co/ZeKMKkd5rV,"New Glasgow, Nova Scotia",ngnews,0,0,2021-06-18 02:10:54
11,Fishermen's association seeks to intervene in First Nations' court cases | Saltwire https://t.co/3km3VZf1rr,"Halifax, Nova Scotia, Canada",chronicleherald,0,0,2021-06-18 02:00:30
12,"Sad but true. 
https://t.co/8WYNsiRLDw","Nova Scotia, Canada",pjdostal,0,0,2021-06-18 01:45:59
13,"@DalMgmtDean @DalManagement 'Otis and Clementine' is our family's favourite place. Books, coffee, and...kittens. What can be better than this? :)
https://t.co/6EJIDmReTP","Nova Scotia, Canada",OksanaShkurska,0,1,2021-06-18 01:43:32
14,"“While enroute back to Digby, sheriff services received a phone call from (Central Nova Scotia Correctional Facility) staff advising them that Robicheau had informed (them) that there had been a firearm in the back of his prisoner transportation compart... https://t.co/QAnryf7Xzz https://t.co/Wijcnu77N3","Halifax, Nova Scotia, Canada",chronicleherald,0,1,2021-06-18 01:14:21
15,"“While enroute back to Digby, sheriff services received a phone call from (Central Nova Scotia Correctional Facility) staff advising them that Robicheau had informed (them) that there had been a firearm in the back of his prisoner transportation compart... https://t.co/UTBXkkJJ9h https://t.co/8S5oogQHqR",Atlantic Canada,SaltWireNetwork,0,0,2021-06-18 01:14:20
16,"Late to post this, but it was a strong day of action on June 10th across Nova Scotia in support of 10 #PaidSickDays for all! via @fightfor15hfx #nspoli https://t.co/aNW2gajJjF",Unama’ki,Monika_Dutt,1,3,2021-06-18 01:03:01
17,Prosecutors outline case against Cape Breton family charged with multimillion-dollar tax fraud | Saltwire https://t.co/lw2st8k4Dn,"Halifax, Nova Scotia, Canada",chronicleherald,0,0,2021-06-18 00:48:16
18,"Nova Scotia needs to answer questions right up to the Parliament and Health Minister. Hearing some stories on their doctor shortage.

Halifax family questions delay in treatment after son, 19, dies of meningitis - CBC News  https://t.co/fKBB70qGyd",,Conspiracysk,0,0,2021-06-18 00:39:46
19,"Halifax family questions delay in treatment after son, 19, dies of meningitis | CBC News.  So terribly sorry for the people who loved this beautiful young man https://t.co/ykgB87oM3p",,McdonaldMcdo54,0,0,2021-06-18 00:29:57
20,Cape Breton B&amp;B owner feels vindicated with Nova Scotia tourism funding program | Saltwire https://t.co/tAsWwd8sNR,"Halifax, Nova Scotia, Canada",chronicleherald,2,2,2021-06-18 00:14:17
21,Great Canadian Gaming Announces the Reopening of Casino Nova Scotia - Yahoo Finance https://t.co/DNFdkisZfI,,OG_Greentee,0,0,2021-06-18 00:10:32
22,Nova Scotia RCMP seize cannabis among drugs in well-armed trafficking ring https://t.co/IjMmkHQ07A,"Toronto, Ontario",TheGrowthOp,0,0,2021-06-18 00:06:54
23,Indigenous-led project purchases land to protect popular Cape Breton hiking spot | Saltwire https://t.co/bnp1lyx2tR,"Halifax, Nova Scotia, Canada",chronicleherald,6,16,2021-06-17 23:57:25
24,But does it have a spot to jump off? https://t.co/UJz1bCcFyJ,,Dartmouthian1,0,2,2021-06-17 23:41:08
25,"#FourthWaveCanada
Will the Atlantic bubble burst before it forms again?
Nova Scotia caught off guard by New Brunswick border reopening
https://t.co/JnUqXHhHlY",Canada,PlanNineNorth,0,0,2021-06-17 23:37:02
26,Mira Gut getting new bridge 4 years after deteriorating span torn down https://t.co/tNEDDVuc36 https://t.co/4xjdNZsRd1,Nova Scotia,CBCNS,2,10,2021-06-17 23:32:03
27,insane that they're still polygraph testing potential employees https://t.co/tlmgwZLKCC,the oubliette ,ChalicothereX,0,10,2021-06-17 23:03:40
28,"4 weeks later when NB is in crisis mode, Nova Scotia and PEI will look smart and safe https://t.co/LQHodOQ7Wa","Charlottetown, Prince Edward Island",sdpate,0,0,2021-06-17 23:01:41
29,Cigarette sales in Nova Scotia increasing: after vape flavour ban. https://t.co/gwSiRqfIS4 via @HalifaxToday Help stop NB go the same way: https://t.co/ymA8zxXnzR,"Toronto, Ontario, Canada",tobacco21ca,0,0,2021-06-17 22:56:22
30,"Nova Scotia Starting Second Phase of Reopening, Opening Border to Atlantic Canada

https://t.co/WZ3S9V9Vgt",Dubai,heba_hashem,0,0,2021-06-17 22:52:17
31,"aka the Chester-St. Margaret’s riding play by ⁦@LiberalPartyNS⁩ government. 

N.S. highway twinning projects on time, mostly on budget 

#chsm #nspoli #AsphaltPolitics  https://t.co/nJutzo9ObV","Head of St. Marg's Bay, NS",BigJMcC,0,0,2021-06-17 22:38:23
32,"@Rogers This is positive news.  Something to remember, however, is not all rural Nova Scotia has cell phone coverage yet…it’s been a definite problem during online teaching.",,RubyAnnCameron2,0,1,2021-06-17 22:35:17
33,"N.S. highway twinning projects on time, mostly on budget https://t.co/rtTAvgulaK https://t.co/UtT1x4HOYL",Nova Scotia,CBCNS,10,24,2021-06-17 22:32:31
34,Dads organize bike event for Autism Pictou County | Saltwire https://t.co/Q2Bdi6iklZ,"New Glasgow, Nova Scotia",ngnews,1,1,2021-06-17 22:23:47
35,Nova Scotia surprised by New Brunswick's 'risk tolerance' in opening to Canada https://t.co/0BQrAnAUqO https://t.co/3QzYwDc1qi,"Halifax, Nova Scotia",HalifaxToday,1,2,2021-06-17 22:23:37
36,UPDATED: Potential COVID-19 exposure notices issued for 6 central zone locations https://t.co/VmUh2lcz06 https://t.co/NKmZSTTc5K,Nova Scotia,CBCNS,4,6,2021-06-17 22:16:55
37,Nova Scotia caught off guard by New Brunswick border reopening: https://t.co/rdbiTrjo0u https://t.co/sNDNRjkB0N,Fredericton,CBCNB,4,8,2021-06-17 22:08:08
38,"In 2019, Halifax had the highest rate of police-reported human trafficking in the country. At more than 10 incidents per 100,000 people, it's 7.5 times higher than the national average rate.  https://t.co/rSBNpZTXs6","Nova Scotia, Canada",NSRadFems,0,0,2021-06-17 22:03:37
39,"Halifax family questions delay in treatment after son, 19, dies of meningitis https://t.co/Afoj0qrB9F",Canada,CanNews24,0,0,2021-06-17 21:56:11
40,"What irony if Canada, former peacekeepers extraordinaire, got UN peacekeepers called on them. It's a bit of farce when peacekeepers will only come at the behest government, when government itself may be the source of or choosing not to stop the oppression
https://t.co/DBtYCwTBBo",,undrstndncanada,0,0,2021-06-17 21:50:52
