,Content,Location,Username,Retweet-Count,Favorites,Created at
0,#Toronto Jun 18 02:00 Temperature 18C few clouds Wind SW 9 km/h  Humidity 55% Ontario .. https://t.co/8m7Z9HgQmw,"Toronto, Ontario",weather_toronto,0,0,2021-06-18 06:30:00
1,@JHallinPeel @dacaldar @moebius_strip Yes. for example: https://t.co/JmbqXuECYG,"Vancouver, BC, Canada ",mssinenomine,0,0,2021-06-18 06:29:48
2,@shahadrashidd Ontario doesn’t want Exciting. Ontario wants Safe. Ontario wants a Daddy Biden to swoop in and save us from Mobster Ford. Horwath just utterly failed that test. She’s not cut out to be leader. She and her campaign manager both need to go before they run the ONDP into the ground.,Greater Sudbury / Grand Sudbur,ana_safavi,0,0,2021-06-18 06:29:14
3,"Some Ontario school boards ditch ‘quadmester’ system for upcoming school year✨

Elite High School Canada 🇨🇦 
Call us at : +92300-0808888
Contact us at : info@elitehighschool.com
Visit our Website : https://t.co/z8zVZHxhEY
#elitehighschool #studyonline #studycanada https://t.co/L3crffez1t",Lahore ,ehs_canada,0,0,2021-06-18 06:29:09
4,Haunted Places In Ontario https://t.co/yDcqPB4TFe  #Canada  #Ontario   #scarystories #witch #horrormovies #ghosthunt #abandonedplaces #hauntedlocations  #paranormal #paranormalstories #demon #hauntedhistory #paranormalresearch #hauntings #haunted #Toronto #Ottawa #NiagaraFalls,,paintingchannel,0,0,2021-06-18 06:28:37
5,Southwestern Ontario animal welfare agencies form new advocacy and support network https://t.co/IzKz6142Uq,CANADA,canada4news,0,0,2021-06-18 06:28:04
6,"Ontario Teachers Unions don’t play well with anyone. 30 years of bitching across the political spectrum. Diminishing outcomes for students. The problem is clear, and the common denominator for once isn’t the government #BreakTheTeachers https://t.co/K5sjTvMQZG",Canada,TalksTrudeau,0,0,2021-06-18 06:26:32
7,Ontario Government: Save Ontario’s food and farms from disappearing forever https://t.co/dQlLRMoKUv via @CdnChange,Canada,Dprang,0,0,2021-06-18 06:26:10
8,@SealedAngel @crustycris51 IM NOT EVEN IN ONTARIO DUMBASS LMFAOOO.,Midgar,LotusVII_,0,0,2021-06-18 06:26:07
9,"Ontario held a new immigration draw on June 16, inviting 940 to apply for a provincial nomination.

Know more: https://t.co/7suVdbV12b

#ontario #ontarioimmigration #pnpdraw #pnpvisa #sernexuss #sernexussimmigration #settleincanada #workincanada https://t.co/atgvgSRXWN","New Delhi, India",sernexuss,0,0,2021-06-18 06:25:57
10,"These posts and videos are also ableist @TorontoStar not just ageist. These are *disabled* older people. Also disabled people of all ages have PSWs and many (sadly) live in LTC. 
https://t.co/JmbqXuECYG","Vancouver, BC, Canada ",mssinenomine,1,3,2021-06-18 06:25:23
11,@Budrino you must live in Ontario?,Not Toronto - Not Ontario,ENBertussi,0,2,2021-06-18 06:25:00
12,"They are finally listening more. 😀

https://t.co/U772ivxLbL",Southern Ontario,DAYBREAKTank,0,0,2021-06-18 06:24:39
13,"@AngelaBelcamino Vinegar and salt or ketchup is the norm up here in canada land, at least in ontario, only people I've seen use mayo are Dutch immigrants",Canada,Fishflavour,0,3,2021-06-18 06:23:49
14,"The Ontario vaccine rollout has been so confusing. My second dose was initially booked for October 1st, then like 2 days ago I was told I will be eligible on August 9th. Now June 28th? We need to focus on outreach because this is confusing for people",Unceded Algonquin Territory,Budrino,0,1,2021-06-18 06:23:46
15,@sunyokun GRRR I CANT TEXT OUTSIDE OF ONTARIO BUT I WOULDVE LOVED BEATING U IN CUP PONG,sixteen | cbyf,iwagender,0,1,2021-06-18 06:23:29
16,"@DustinJComedy @mechapoetic No you're right, Chiropractor formation here (in ontario and quebec at least) is pretty much the same as MDs but with more anatomy and less pharmacology.",,QueenSnakes,0,0,2021-06-18 06:23:20
17,"Ofc, Westerners get it in seconds, Tucker and red state America get it in milliseconds Ontario will get it in a week, and the atlantic provinces dont care and are busy getting drunk, listening to great big sea albums. https://t.co/nkLWgZ3nIq",,TransSplendor,0,1,2021-06-18 06:23:02
18,"Sure if this works out I will be happy but I'll believe it when I see it. Everyone might be eligible for their second dose on June 28th but lots of folks probably won't be able to get it for August 

https://t.co/oy3lxNuYbA",Unceded Algonquin Territory,Budrino,0,0,2021-06-18 06:22:10
19,I dreamed that I was supposed to take a train to Edinburgh but bought a ticket to Ontario instead…. I don’t even know how that’s possible lol,,ddiddirere,0,3,2021-06-18 06:21:12
20,"Couple waves of showers with embedded thunderstorms moving across Southwestern Ontario for areas east of Lake Huron early this morning!

(Huron/Bruce extending into Perth/Grey) https://t.co/Bs6b2UbPVC",Canada,justinmweather,0,0,2021-06-18 06:21:08
21,@Ontario_69 There are different positives to both... preference... going in,,hawtmommabear,0,0,2021-06-18 06:20:04
22,"Funny, Ontario put ex military in charge of vaccine rollout and that didn't work out so great either. 

It's like public health is a skill or something that should be done by peeps with public health expertise..let primary care do it...yadda yadda yadda..... https://t.co/vRBwnM0Brb","Mparntwe, Alice Springs, NT",drlesleybarron,0,0,2021-06-18 06:13:58
23,@Bell_Support can you address the apparent connectivity issues happening in Ontario? I’m in Toronto and the internet comes in and out every 45 seconds or so!,"Toronto, Ontario",lesmis456,0,0,2021-06-18 06:13:55
24,"I also hate to be a balloon breaker, but just so the public knows, the icus in Ontario are full of otherwise healthy people who got covid 21 days ago. We see the light, but we aren’t out of the woods yet. Covid Critical illness lasts a hell of a lot longer than 21 days. https://t.co/fi7ivyvI2A",mississauga,therealbirdey,0,0,2021-06-18 06:13:47
25,"#cannabiscommunity #marijuana #cannabis Tilray to Webcast Fireside Chats From Two Investor Conferences in June  

        NEW YORK &amp; LEAMINGTON, Ontario--(BUSINESS WIRE)--Tilray, Inc. (“Tilray”) (NASDAQ: TLRY; TSX: TLRY) announced that the Company https://t.co/XNjZgaglq7 https://t.co/7DjxHEu7Vf",,MMPconnection,0,0,2021-06-18 06:11:19
26,"Pte. Henry Roscoe Mahoney (Canadian Infantry - Central Ontario Regiment). Jun. 28, 1917. Age: 21",Ottawa Canada,WeAreTheDead,2,3,2021-06-18 06:11:13
27,"@ImranKhanPTI 
P. M of Pakistan doesn't condemn vandalism happening in his gov't against a peaceful &amp; patriotic Ahmadiyya community of Pak. Opponents are demolishing Ahmadiyya mosques non stop and P. M is tweeting his grief to Canadian gov't about sad incident happened in Ontario","Edmonton, Alberta Canada",AKMohsinFarooqi,0,1,2021-06-18 06:11:10
28,"@UROCKlive1 There are now inoculation pop-ups all over Toronto and Ontario announced today that they're rapidly accelerating the 2nd dose (my appointment was set for September).

Thanks, neighbour!",,RileyStine,0,1,2021-06-18 06:10:50
29,"@moonshot_ideas Ontario may have said this today but I don’t trust it yet tbh, 2 days ago I was told I would be eligible August 9th and now it’s all the way back to June 28th, I have a feeling the appointments will be booked rock solid through July within minutes.",Unceded Algonquin Territory,Budrino,0,0,2021-06-18 06:10:44
30,"@DevinDVote What exactly did Dr. Fauci hide?  Is he an accomplice of the CCP?

https://t.co/sNumaJyMFM",,my_igh,0,0,2021-06-18 06:10:06
31,@hutchmanz @rubiconcapital_ So Ontario chooses to blatantly ignore all the known science and data and do the opposite of what is being done in most other places the world. What is wrong with them?,,tamarawarren,0,0,2021-06-18 06:09:03
32,Doug Ford says he'll speak with Ontario's health table about moving to Step 2 early https://t.co/mffRfXQzSk via @CTVToronto,in Queensland,GregAJackson1,0,0,2021-06-18 06:07:25
33,"Ontario is opening second doses to all by June 28. Why has BC not adjusted its schedule? The delta variant is circulating, even if limited testing is making things look sunny. We deserve full protection as quickly as we can get it.",MST territories #LandBack,moonshot_ideas,0,2,2021-06-18 06:07:03
34,Ontario Health Minister Christine Elliott announces new 9-1-1 models of ... https://t.co/3OEYCyby01 via @YouTube,Vancouver BC Canada,EduardRosenbach,0,0,2021-06-18 06:06:53
35,"UFO Witness Sketch, Real Background.
January, 1967: Fort Erie, Ontario

#UFO #ufosighting #UFOs https://t.co/JksV2prAxE","Royal Oak, MI",JohnELTenney,2,22,2021-06-18 06:06:46
36,"""A pastor from Ontario, Canada faces six years in prison and $600,000 in fines for refusing to turn people away from his church in accordance with state-imposed health measures."" https://t.co/Y3Ohm9VVNP","Brisbane, Australia",AnthonyLarme,0,0,2021-06-18 06:05:34
37,"@centeringpendu1 The Ontario Liberals used their last week's of the 2018 campaign attacking the Ontario NDP. They literally preferred Ford to win over the NDP, and now you just expect the NDP to sit on their hands ?","Alberta, Canada",ProgressiveCDN,0,0,2021-06-18 06:03:30
38,"Ontario PNP Invites 940 International Students and Temporary Workers..!!

Get Free PNP Assessment: https://t.co/NLfkdk3cyC
Call @ 9599257526, 9599111071

#ontariopnp #ontariopnpnews #ontariopnpdraw #ontariopnpinvites #ontariopnpdraw2021 #ontariotechdraw2021 https://t.co/v5fSwjJw0F",New Delhi,beyondllp,0,1,2021-06-18 06:02:55
39,"📷 Light Violet Lilac  Arboretum, Royal Botanical Gardens, Hamilton/Burlington, Ontario, May 29, 2021  https://t.co/P50EfQEEQN",,garychapple,0,0,2021-06-18 06:00:44
40,@IceusHeidi Pollinators on flowers are so 'right'!  Looks like you might have a Mining Bee on one of your flowers.  Coincidentally my sister sent me a photo of some form of Hawk-moth sipping nectar from a flower yesterday - my ID of Ontario insects is a bit poor though!,,Mayfieldbirder,0,0,2021-06-18 06:00:30
41,Ontario's top doctor said he would only consider speeding up Step 2 by 'a day or two' after Premier Doug Ford said he wanted to discuss an earlier reopening.  https://t.co/WLsWK1VXSg,"Toronto, Ontario",CTVToronto,1,1,2021-06-18 06:00:22
42,Why I love being Canadian #MahmudJamal is elevated from the Ontario Appeal Court to become the 1st #Muslim to sit on the Supreme Court of Canada &amp; it's politically painless. Don't know when a Muslim will join the U-S Supreme Court. But it won't happen without an ugly fight. https://t.co/qQJAjPWR5i https://t.co/NJrsLu3Mdk,"Vancouver, BC - Canada",charlesadler,4,11,2021-06-18 05:58:14
43,"@grepory Ohai, we are looking for a Principal and potentially a Head of Eng: https://t.co/UvdgEb2MaK
All eng positions are open to applicants in the US or Ontario.

FWIW I have admired you as a person and force for good for years and am glad you had someone to help you off that ledge 🖤","New York, NY",atebitbyte,0,0,2021-06-18 05:57:30
44,GM plant slated for death is now a lifeline in a scramble to build pickups https://t.co/TDTz4ZYSEY via @freep sure with equalization payments from the west there was no incentive to make a profit.,,DarrenHunter11,0,0,2021-06-18 05:57:26
45,@Erin_A_Kaufman This is a glimpse into my childhood. Peak 90's Canadiana! Here's another 90's Ontario PSA https://t.co/bGGqjCjE3N,"London, Ontario",mattvandermeer,0,0,2021-06-18 05:57:15
46,"ZAGMT —   Study to assess COVID-19 vaccine effectiveness among people with HIV: Researchers will follow 35,000 people living with HIV in B.C. and Ontario and track the COVID-19 vaccine uptake and rates of SARS-CoV-2 infection ... View article... https://t.co/ZEoEWWdw9b",Ireland | Scotland | Inuit | Skandinavien,pairsonnalitesN,0,0,2021-06-18 05:57:02
47,@devtrospective How draconian is Ontario rn?,,Nekotousan,0,0,2021-06-18 05:56:12
48,Look at this good boy available for adoption in Ontario! https://t.co/1JhH826Omb,"Oregon, USA",wordygirl11,0,0,2021-06-18 05:52:57
