,Content,Location,Username,Retweet-Count,Favorites,Created at
0,Respiratory PPE withheld from Health Care Workers resulting in deaths and illnesses - heartless cynical political manipulation of science - the appalling scandal covered here by Canadian TV news featuring @DFisman highlighted by @CPita3 + @microlabdoc 🙏 https://t.co/2HlKa0Cu20,U.K.,FreshAir_4_NHS,0,0,2021-06-18 06:39:21
1,"'Living fossil' fish may live for up to a century. Not surprising, it is a large predatory fish living in deep water. https://t.co/oQXcfeY3ub",Oxford,AlexDavidRogers,0,0,2021-06-18 06:38:07
2,The Anne Anderson blog series is highlighting #WomenInScience &amp; health. In this blog https://t.co/bXF1llepqQ @EllaFlemyng shares her experiences working with @cochranemthds  &amp; the opportunities she sees for women in science #AnneAndersonWalk,"London, UK",cochranecollab,0,0,2021-06-18 06:38:02
3,Deer attacks runner at Hormel Nature Center in Austin https://t.co/AkqVbjpQbi,"Rochester, MN",PB_News,0,0,2021-06-18 06:37:18
4,"@exscientiaAI acquires personalised medicine AI pioneer Allcyte

@Exscientia, a clinical stage pharmatech company, has entered into a binding agreement to acquire Allcyte, a leader in artificial intelligence (AI) based precision medicine. 

https://t.co/qruByDCZMS","Dundee, Scotland",BioDundee,0,0,2021-06-18 06:36:14
5,"Reportedly ⁦@JeffBezos⁩ is planning to build a #nuclearfusion power plant in the UK. 🇬🇧 What’s the deal, #nucleartwitter? Is this going to work or end up as #vaporware like ⁦@iterorg⁩? ☢️⚡️ ⁦@nuclearkatie⁩  https://t.co/Lh3CuW4w57","Plymouth, UK",SalopianJamie,1,0,2021-06-18 06:35:38
6,"Ghaziabad Police send notice to Twitter India MD, ask him to join probe in UP assault case https://t.co/dL6HS3Ai8f","Chandigarh, India",rohit_bhan,0,0,2021-06-18 06:35:24
7,"Quantum MIT Physicists bring human-scale object to near standstill, reaching a quantum state https://t.co/NwlALBTKmW #quantum #physics #science",London Manchester and Hants UK,IntriguingNW,0,1,2021-06-18 06:35:02
8,The science around the lab leak theory hasn't changed. But here's why some scientists have. https://t.co/MjLqGo0Zru 来自 @nbcnews,,lifuzhang51,0,0,2021-06-18 06:33:59
9,"@Pattytaor @firebladereilly @nataliemcw https://t.co/4SEQjHfvy1

https://t.co/g2FPytqqXg

https://t.co/tzSWdHtHdr

Mankind has a common enemy.",Western Hemisphere,Nowheremaam,0,1,2021-06-18 06:33:24
10,"https://t.co/diSwvNJ5wz „""At the time, it was scarier to be associated with #Trump and to become a tool for racists, so people didn't want to publicly call for an investigation into lab origins,"" she said.”",,infobezecha,0,0,2021-06-18 06:33:23
11,Nuclear energy: Fusion plant backed by Jeff Bezos to be built in UK - BBC News ⁦@tnatw⁩ ⁦@KalPatel⁩ A company backed by Amazon's Jeff Bezos is set to build a large-scale nuclear fusion demonstration plant in Oxfordshire. https://t.co/boFPLvYZ06,"Leeds, England",DigitalDreams08,0,0,2021-06-18 06:33:13
12,“Patients undergoing knee replacement who became Covid positive were 25 more likely to die”.  Extraordinary stats from London and Swansea. https://t.co/uYvB5DtL49,UK and Ireland,orthoandtrauma,0,0,2021-06-18 06:33:10
13,"DOST executives joined the 11th Informal ASEAN Ministerial Meeting on Science, Technology and Innovation (IAMMSTI-11) to advance COVID-19 research collaboration in the ASEAN region: https://t.co/aHcmrpj971","Los Baños, Laguna",dostpcaarrd,0,0,2021-06-18 06:31:31
14,"My old geek haven at @UMassAmherst is gone, and the many many books they harbored are under threat.

https://t.co/Zr4gUBUqtU","Fremont, CA",shava23,0,0,2021-06-18 06:31:23
15,'Great Dimming' of Betelgeuse star is solved - https://t.co/Qrhu87P2c1,"North Yorkshire, UK",sjb_astro,0,1,2021-06-18 06:31:01
16,Science Museum in 'world's biggest house move' to Swindon https://t.co/PtdW66ZWU1,East of England,FrankCrosby,0,0,2021-06-18 06:30:34
17,"In gambling we work off Bayesian Inference

When you get more information you update your model to determine accurate price of event occurring

If you haven’t updated your covid mental model yet, you’re anti-Bayesian. 

https://t.co/DHMrshRK5t",,ImperiumProBets,0,0,2021-06-18 06:30:32
18,"#COP26 : ‘Faith and Science’ event to highlight efforts against climate crisis

https://t.co/nPBevmXWVG https://t.co/jXlMdeLIAR",Malaysia,heraldmalaysia,1,1,2021-06-18 06:30:00
19,"Reefs take up less than 1% of the area covered by ocean, they are estimated to be home to more than a third of life under the waves.

Yet they too face an uncertain future as a result of a warming world.
#ActOnClimate #CarbonPollution 
https://t.co/2TirRhKZiV","Glasgow, Scotland",PaulEDawson,13,10,2021-06-18 06:30:00
20,"The Indian Institute of Science Education and Research (IISER) will begin the application process for its 5-year integrated BS-MS programme on July 1. 

#IISER #Admissions2021 

https://t.co/soJIwWXvga","Kolkata, India",EducationAbp,0,0,2021-06-18 06:30:00
