,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"@asideofgravy @RCJournal you hate South Dakota.  
Also tourists
IMO, you need to figure out what you want",Metroplex,RogerThomas1288,0,0,2021-06-18 06:22:14
1,"One more show with Ryan? 
Yes.

See you in Centerville, South Dakota on July 24th.

This is our official ""save the date""

More info to come. 
(Just enough time to fully vaccinated)

🍕❤️🎼",,TNFquartet,1,11,2021-06-18 06:18:55
2,"@Bitemefuker @govkristinoem Because no human alive can pin point South Dakota on a map. 

Kidding… lol. But I’m sure any GOP state will send what’s needed.",Not DC,MericaMadness,0,1,2021-06-18 05:56:14
3,South Dakota governor slams Biden over fireworks plans: 'What a hypocrite' https://t.co/xJds7gZu8C,TX,smnamn,0,0,2021-06-18 05:51:17
4,"Long Soldier, Stewart-Nunez Lead 2021 South Dakota Festival of Books Poetry Track https://t.co/r3Xdb1vEZz","Brookings, SD",SDHumanities,0,0,2021-06-18 05:50:01
5,@lghostberg oregon ft south dakota for some reason? https://t.co/uVvfv3T0qu,,godkinlester,0,0,2021-06-18 05:46:46
6,South Dakota implies the existence of north Dakota..,"Boston, MA",lizippel,0,0,2021-06-18 05:41:54
7,if theres a north and south dakota and a north and south carolina why is virginia not called east virginia. all of the sudden u think ur the more important virginia??? no way buddy😤,she/her • 18 • blm + acab,jubileejoj,0,1,2021-06-18 05:38:19
8,"@spngepants @RCJournal South Dakota is an amazing state with great people. If you have no roots here, pipe down",Metroplex,RogerThomas1288,0,0,2021-06-18 05:38:03
9,I think we can all agree that all South Dakota roads are total ass! 😤,Midwest,BLaRoche22,0,0,2021-06-18 05:33:37
10,"@J_D_Landis Road trip while moving from South Dakota to Oregon with my new husband. Sunset in the Badlands. I have never been so blissfully happy. And no, as much as I’d like to, I don’t think we can recreate just the right circumstances. @djohn1974","Forest Grove, OR",K_in_the_Grove,0,0,2021-06-18 05:31:18
11,The Badlands never looked so good - South Dakota (6-11-21) [1080x1920] #travel #ttot #photography #naturelovers #nature #landscape #naturephotography #photooftheday https://t.co/AKpt1bfqfb,,wallpaperable,1,2,2021-06-18 05:25:39
12,The Badlands never looked so good - South Dakota (6-11-21) [1080x1920] https://t.co/g1jjpFCNdx,Banepa,jucktion,0,0,2021-06-18 05:24:09
13,The Milky Way Galaxy over Central South Dakota 🔉 https://t.co/uOTlnPqvpR,"Northeast Texas, USA",AnIllicitWriter,8,17,2021-06-18 05:21:05
14,Every 30 seconds a person of color in South Dakota is bullied by Rolly Polly Olly. You can help by emailing Macaulay Culkin. Follow any YouTube content creator for more info on this unfortunately disheartening news. ((image)),,weneedyourhelp0,0,0,2021-06-18 05:17:13
15,@SerenaShimAward @MsSherryP I lived in south Dakota,"Satans HOT butthole,  NV.",LocoMonki1,0,1,2021-06-18 05:16:30
16,@JoyAnnReid South Dakota is the only remaining state to not observe Juneteenth.,,floresgardens,0,2,2021-06-18 05:11:37
17,"@Shenaniglenns South Dakota only implies the existence of a separate Dakota. The fact that it's called North Dakota is extra.
See also: West Virginia",,usnhmusmc,0,0,2021-06-18 05:10:15
18,@DustinGeels @SwiftNinjaFox @TimJDillon @PandasAndVidya Where do you live South Dakota???,"The Upsidedown, NY",JeezJose,0,0,2021-06-18 05:08:18
19,@govkristinoem The voters of South Dakota also voted for recreational marijuana… 😒,"Arizona, USA",pastelsouthwest,0,0,2021-06-18 05:04:44
20,"📷 Mt Rushmore⁠ ⁠ Black Hills, South Dakota, Iron Mountain Road, South Dakota⁠ ⁠ Join us for great Safari and Photo Tours⁠ ⁠ https://t.co/0LHmCfkhaQ⁠ ⁠ DM @theraja @brambleberytours for more information⁠ ⁠ #blackhills #southdakota... https://t.co/1zCaB6t2s6","ï¿½T: 29.737057,-95.744655",taharaja,0,0,2021-06-18 05:01:50
21,"@danlederman @govkristinoem So one of the only Jews in South Dakota in nebech a republican, hashem yerachem. 🤦‍♂️","Box Elder, SD",twersky,0,0,2021-06-18 04:58:50
22,"@dakotanews_now Thanks to Noem and Republicans “ super spreader” events, tiny South Dakota ranked #10 in the U.S. for Covid spread and deaths.",,Lon86690798,0,0,2021-06-18 04:58:34
23,"dakota is all we need frankly

I say this as someone who loves south dakota and has significant family there https://t.co/ScQ51Rvj5b",denver usually,emawlorado,0,0,2021-06-18 04:57:12
24,Every 20 minutes a latinx individual in South Dakota is bullied by a Nigerian Prince. You can help by standing up for them. Follow Archie from the CW's Riverdale for more info on this unfortunately disheartening news. ((image)),,weneedyourhelp0,0,0,2021-06-18 04:56:42
25,"Do you have a moment to talk about our lord and savior, SOUTH DAKOTA? https://t.co/8mbw7HeZtW","Birmingham, AL",neoteotihuacan,0,1,2021-06-18 04:55:32
26,@11thHour @BeschlossDC South Dakota is the only remaining state to not observe Juneteenth.,,floresgardens,0,0,2021-06-18 04:55:23
27,it's obvious that @govkristinoem is out of touch with agri business in South Dakota. https://t.co/DsGulSRuVN,"Denver, CO USA",raquelvasquez,0,0,2021-06-18 04:53:43
28,I forgot north and South Dakota existed,"New Jersey, USA",abbeyokie,0,1,2021-06-18 04:52:52
29,"Americans know South Dakota, I have news for Noem, No one is coming to South Dakota. https://t.co/GZD3iDTWb9",,robertfj48,0,1,2021-06-18 04:52:39
