,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"⚔️ What #SUFC make of #Arsenal valuation of key man
⚔️ Blades stance on Cairney approach
⚔️ Pre-season plans
⚔️ Team mates go head-to-head

🔴 Your Friday morning Blades news digest

https://t.co/mPwJcHxuf0
#twitterblades",Sheffield,TheStarBlades,0,0,2021-06-18 06:30:49
1,Leicester City 'beat' Chelsea and Liverpool to transfer as Celtic update emerges https://t.co/nfiadpe8Dp via @NewsNowUK,"South Wales,UK",evilbluebird,0,0,2021-06-18 06:30:14
2,"Morning!

Your latest edition of the A&amp;T is on newsstands now – grab a copy for the latest news and sport from across the New Forest and Christchurch. https://t.co/n9WFyJJJy8","New Milton, New Forest",Lymingtontimes,0,0,2021-06-18 06:30:00
3,"Liverpool should be thankful for Gennaro Gattuso and Tottenham move

#LFC 

https://t.co/6xFEan2UWE",Liverpool,LivEchoLFC,1,2,2021-06-18 06:30:00
4,Former United captain completes return to the Premier League #mufc https://t.co/aClkL1asvX,"Manchester, UK",ManUtdMEN,0,6,2021-06-18 06:30:00
5,"Expected to challenge for a first team place. 

https://t.co/vq9O4nCwaz",Newcastle upon Tyne,ChronicleNUFC,0,0,2021-06-18 06:30:00
6,Chelsea should go all out for Erling Haaland transfer to achieve Roman Abramovich dream https://t.co/63Vz3Ds7OO via @NewsNowUK,"South Wales,UK",evilbluebird,0,0,2021-06-18 06:29:51
7,Chelsea backed to snub Erling Haaland for Romelu Lukaku with Belgian at a 'higher level' https://t.co/HzYIk033lI via @NewsNowUK,"South Wales,UK",evilbluebird,0,0,2021-06-18 06:29:42
8,"Jose Urquidy Tosses seven innings in win

https://t.co/HSxdiQpxPt","San Diego, CA",LineStarMLB,0,0,2021-06-18 06:29:24
9,"Your morning digest 

#EFC 

https://t.co/n9Fnd4RR6F",Liverpool,LivEchoEFC,0,0,2021-06-18 06:28:00
10,"#RecentSportNews #hotnews #hotsports #newsbreak #sportbreak Regan Smith second in 200 fly, grabs another Olympics event: OMAHA – When Regan Smith was 7 years old, the butterfly made her love racing. When she was 18, it comforted her, as the stroke [...] https://t.co/U6w0DKjFJe",United States,onlinelisting,1,0,2021-06-18 06:27:05
11,"#RecentSportNews #hotnews #hotsports #newsbreak #sportbreak Rays vs. Mariners Highlights: Shed Long Jr., Kyle Seager lead Mariners to 6-5 win https://t.co/E3E097D3pP",United States,onlinelisting,1,0,2021-06-18 06:27:03
12,#RecentSportNews #hotnews #hotsports #newsbreak #sportbreak CG: NYY@TOR – 6/17/21: Condensed Game: The Yankees turned a triple play for the second time this season and Giancarlo Stanton hit a go-ahead homer to sweep Toronto https://t.co/YCppfcx9rd,United States,onlinelisting,1,0,2021-06-18 06:27:03
13,"#RecentSportNews #hotnews #hotsports #newsbreak #sportbreak For Giannis, Game 7 will be the game of his life: With a forceful performance in Game 6, Giannis Antetokounmpo set up what will be a defining moment in his career Saturday in Brooklyn. Will he… https://t.co/5TL0PpK8UE",United States,onlinelisting,1,0,2021-06-18 06:27:02
14,"Mirror: https://t.co/fou2th9pGM - Transfer news LIVE: Man Utd, Arsenal, Liverpool, Chelsea gossip and Spurs latest #LFC","Liverpool, Merseyside, England",anfieldroad,1,1,2021-06-18 06:27:01
15,"Transfer news LIVE: Gennaro Gattuso to Tottenham 'off' amid #NotoGattuso social media campaign #THFC

⬇️⬇️⬇️

https://t.co/3mP6nfQiUW https://t.co/Sy0HkhwoGK",Scotland,Record_Sport,0,1,2021-06-18 06:26:49
16,"The good guys! 🤣

Euro 2020: Uefa warns teams could be fined if they move drinks at news conferences - BBC Sport https://t.co/ZsCMmLmLfa",,ShaykShack,0,0,2021-06-18 06:26:00
17,@Record_Sport Great News 🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿,"Bath, England",ArchibaldMcLac1,0,0,2021-06-18 06:25:59
18,@ImGerTreacy is bringing you all your sport news throughout the morning #IrlAM https://t.co/uk7XdmTmeT,"Ballymount, Dublin.",IrelandAMVMTV,0,0,2021-06-18 06:24:29
19,"#Turkey 0-3 Italy LIVE! Euros opening game result, highlights, latest news and reaction - Evening Standard https://t.co/emXjjYTOx4 via @YouHalal #NewsTurkey #TurkeyNews","London, England",YouHalal,0,0,2021-06-18 06:23:20
20,"We are an absolute joke of a football club! @SpursOfficial
Sort this mess out give us our club! 
BBC News - Paulo Fonseca: Tottenham end talks with Portuguese manager
https://t.co/G0CejUcwMg","Cardiff, Wales",wenglishpaul,0,0,2021-06-18 06:21:53
21,#euro2020 ⁦@UEFA⁩ warns teams could be fined if they move drinks at news conferences - this is the revenge of the beverage industry. Powerful lobbying indeed  https://t.co/SqkK7sQSYL,Libano,marcobardus,0,0,2021-06-18 06:21:07
22,"Five Knights to play in senior baseball game | News, Sports, Jobs https://t.co/Dto6h8yO1R",,indiansports111,0,0,2021-06-18 06:20:52
23,Woodward says United have foundations for 'long-term success' despite a sixth trophyless season in the last eight #mufc https://t.co/YbqS0nI0Gl,"Manchester, UK",ManUtdMEN,2,32,2021-06-18 06:20:00
24,"Rafa Benitez can break last great taboo with Everton new manager job

#EFC

https://t.co/rbUVh6BJuG",Liverpool,LivEchoEFC,0,1,2021-06-18 06:20:00
25,"Two years ago he was the world record holder, two weeks ago his nan passed away, two days ago he missed the cut for Tokyo .

Mow Matt Wilson is on the Aussie Olympic team: https://t.co/A8IjKMDogu https://t.co/xuiOE3CtUX",Brisbane Queensland Australia,cmail_sport,0,1,2021-06-18 06:20:00
26,"Liverpool have a Xherdan Shaqiri problem that Man City and Chelsea get away with

#LFC 

https://t.co/CbCbX0MDSY",Liverpool,LivEchoLFC,1,13,2021-06-18 06:20:00
27,"Scott Brown says England's talent won't matter if Scotland show up for a fight in do-or-die Euro 2020 clash 🏴󠁧󠁢󠁳󠁣󠁴󠁿

https://t.co/Jek3tf6VJZ",Scotland,Record_Sport,0,3,2021-06-18 06:20:00
28,#RecentSportNews #hotnews #hotsports #newsbreak #sportbreak Olympics: Weightlifting – Romania out of Tokyo Games after one-year doping ban: The ban was issued for five anti-doping violations made by Romanian athletes in 2012. Those included Romania’s… https://t.co/xAcRFpR6HX,United States,onlinelisting,1,0,2021-06-18 06:19:35
29,"#RecentSportNews #hotnews #hotsports #newsbreak #sportbreak Regan Smith second in 200 fly, grabs another Olympics event: OMAHA – When Regan Smith was 7 years old, the butterfly made her love racing. When she was 18, it comforted her, as the stroke [...] https://t.co/nMWhK8Eln3",United States,onlinelisting,1,0,2021-06-18 06:19:35
30,"//Two of the world’s best-known beverage brands have felt the viral ripples caused by simple gestures from stars of the world’s most popular sport.//

https://t.co/WZ88N7x85y","Kolkata, India",Praxis_Tweets,0,0,2021-06-18 06:19:05
31,Scotland ready for crunch clash with England at Wembley  https://t.co/5eWSR6lyEB #SCO #Scotland,Inverness,invernessreds,0,0,2021-06-18 06:18:18
32,"Football: Scotland keen to make amends against England after poor Euro 2020 start, says McTominay https://t.co/Y6X9hTntMg https://t.co/KZnxk4NSHx",Singapore,ChannelNewsAsia,0,2,2021-06-18 06:18:08
33,Football: Neymar scores again at Copa America to edge closer to Pele's Brazil record https://t.co/vDTzq5VK6N https://t.co/sjtvM3nRMT,Singapore,ChannelNewsAsia,0,3,2021-06-18 06:18:06
34,"Sky Sport engages external expert after allegations of sexual harassment and bullying 
 https://t.co/IBPeCxt6l6","Bay of Plenty Region, New Zealand",BlinkPR_NZ,0,0,2021-06-18 06:18:00
35,Man City news and transfers LIVE: https://t.co/UITnVgLJWM,Etihad Stadium,mcfcnewsapp,0,0,2021-06-18 06:17:35
36,Hockey - NHL - Le Tampa Bay Lightning prend l'avantage contre les New York Islanders… https://t.co/T5CHKXes4v https://t.co/y2TCwkDTOv,,WYN_Sport_News,0,0,2021-06-18 06:15:51
37,Scotland ready for crunch clash with England at Wembley. https://t.co/O5mqETTPWC,Scotland,STVSport,0,2,2021-06-18 06:15:48
38,Scotland ready for crunch clash with England at Wembley. https://t.co/k0MBGpvWyl,Scotland,STVNews,3,19,2021-06-18 06:15:36
39,Any take your fancy? #SCFC https://t.co/EvVh5GFk4Z,Stoke-on-Trent,StokeCityLive,0,1,2021-06-18 06:15:09
40,"Transfer news LIVE: Man Utd, Arsenal, Liverpool and Chelsea gossip plus Spurs boss latest #mufc #ManUtd https://t.co/lkg231VPmD",,ManUtdLatestCom,0,0,2021-06-18 06:15:03
41,"Why Grant McCann could be the man to reignite Jack Marriott's career. | #hcafc 

https://t.co/qDG09xh8SN","Hull, England",HDMHullCity,0,1,2021-06-18 06:15:00
42,"The #SaintsFC striker did not start the first game for Scotland at #Euro2020.

But he could be in line to feature at Wembley this evening

https://t.co/vxLgx3i8XT","St. Mary's, Southampton.",Saints_FCLive,0,1,2021-06-18 06:15:00
43,"Liverpool watching closely after Amazon £650m deal 

#LFC 

https://t.co/80aiZpbYRt",Liverpool,LivEchoLFC,2,14,2021-06-18 06:15:00
44,"Liverpool watching closely as Amazon complete £650m deal 

#LFC 

https://t.co/80aiZpbYRt",Liverpool,LivEchoLFC,2,6,2021-06-18 06:15:00
45,"Louie Barry doing extra training as Dean Smith casts his eye over Wesley's PL credentials, the 5⃣ Aston Villa hopefuls tasked with point-proving pre-seasons | @PreeceObserver #AVFC https://t.co/87qqo38reV",Birmingham,AVFC_News,0,12,2021-06-18 06:15:00
46,Understand AFL and Port not far from conclusion of investigation into players without masks at swimming trials. Players had recently purchased food. Either had it at their feet or had just finished. AFL won't impose any punishment https://t.co/GB9l90rczW,Melbourne,RalphyHeraldSun,1,9,2021-06-18 06:11:52
