,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"Work with India's best tech policy news website.
MediaNama is hiring: https://t.co/ofDMyQnJNm https://t.co/FU77ywZv8B",India,medianama,0,0,2021-06-18 06:30:48
1,"Headline:  Tata's neobanking push
#Hyderabad #CyberCrimeAwareness #StayAlert 
Reference: https://t.co/2lBP36brXA",Hyderabad,hyd_cyber_bot,0,0,2021-06-18 06:30:43
2,"More than 13,000 people have signed a petition to urge Jeff Bezos to remain in space and not reenter the Earth’s atmosphere. https://t.co/X9P5uFbH6u","Kuala Lumpur, Malaysia",staronline,0,0,2021-06-18 06:30:38
3,Indoor inspection drones of Flybotix get a Tech Growth Loan by FIT https://t.co/JlPENE9sSf via @EPFL_en #Swisstech #VDtech @Flybotix_ @FIT_fund https://t.co/XHFv0cmvYi,,EPFL_Park,0,0,2021-06-18 06:30:16
4,"How to avoid Car Hacking? As for the increasing high-tech level of today’s cars, the automotive security faces new challenges. Is it worth comparing modern digital technology with the analog features of older cars? Access the view. #AutoSecurity #IoT https://t.co/AGKmxQaq7l https://t.co/0wPY3sjW1U",Freiburg im Breisgau; Germany,CSiepler,0,0,2021-06-18 06:30:15
5,"Audio Codecs Compared – MP3, AAC, AC3, WAV, WMA, and Opus

https://t.co/zAFZjZDfuo 

Follow @OTTVerse for the latest tech and industry news!

#ott #mp3 #wav #wma #aac #ac3 #opus #audiocodec https://t.co/ncG2lo1gba",,OttVerse,0,0,2021-06-18 06:30:02
6,"Singapore's the new tech hub and India's loving it

https://t.co/fDodib5aSm","Mumbai, India",TOIPlus,0,0,2021-06-18 06:30:00
7,"Metro Exodus PS4 saves won't transfer to PS5, but there's a new chapter unlock feature https://t.co/WCaZ8gVjUc",,BhoysNews2021,0,0,2021-06-18 06:26:04
8,The best robot vacuums for hardwood floors https://t.co/hRtC0lslP6 https://t.co/rdjBjD6avd #like #comment #ff #followday #followback #influencer #vibes #covid #savelife #tech #news,"Mumbai, Maharashtra",rahulkachhad,0,0,2021-06-18 06:23:35
9,Online used car platform Carsome is weighing going public in the U.S. via a SPAC or an IPO in a deal that would make it Malaysia’s first unicorn. https://t.co/fFtVx4ZYep,San Francisco,technology,1,2,2021-06-18 06:23:29
10,"Analyzing Google News: Introduction
by @coppola_gregory @Medium

Read more: https://t.co/CtAH2S55M7

#BigData #ArtificialIntelligence #ML #Blockchain #DataScience #Tech #Technology #Data #AR #AugmentedReality #Automation

cc: @coppola_gregory @tableau @randal_olson https://t.co/bdycP1mob8",The Netherlands,Ronald_vanLoon,1,2,2021-06-18 06:23:03
11,"Let’s stop chasing a European Google or Facebook, Innovation Commissioner Mariya Gabriel tells POLITICO. Green Tech is the fight Europe needs to win.  https://t.co/EkPKVHaHEk",Brussels,pieter_haeck,3,2,2021-06-18 06:21:42
12,"This is good news. 

Great to know when this #concussion data will be available.

Gumshield tech used by @Harlequins gives data referred to here instantaneously so hopefully it’s available very soon so teams can be educated how to protect players and key protocols adapted 🤞🏉🧠 https://t.co/aZM6ENToNm",,ProgressiveRug,0,0,2021-06-18 06:20:57
