,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"#cryptocurrency #CryptoNews
Breaking news!!!!
Us house Republican becomes first national party to accept donations in Crypto!
https://t.co/08Jn1DmroO",India,CRYPTOMONKIN,0,0,2021-06-18 06:15:23
1,US lawmakers worried UFOs could pose threat to national security https://t.co/rRHl4qfVRW,Washington DC,fox5dc,2,0,2021-06-18 06:15:10
2,"Graham, Whitehouse: Global transition to renewables would help national security https://t.co/C009nJfMAk",,SleihySusan,1,0,2021-06-18 06:08:53
3,"Juneteenth 2021: New national holiday sets off scramble to shutdown governments nationwide Friday
https://t.co/5dEre4qut1",,JamesSm89516966,0,0,2021-06-18 06:05:34
4,"Meanwhile, outside the re-occupied bars of US/Europe, things have gotten very bad in the last few weeks In East Africa. They will continue getting worse for a while.

Oxygen failure kills 30 Covid patients at Mulago  https://t.co/sGG9hges9r via @DailyMonitor","Washington, DC",SylvanRH,0,2,2021-06-18 06:05:25
5,"The Finnish and Estonian tax administrations @maksu_tolliamet have started 🤝REAL-TIME information exchange🤝 

A first in the world between national tax administrations! 1/ 

https://t.co/5svMoDV2O6",Suomi,TaxFinland,6,12,2021-06-18 06:04:09
6,Tenant members are invited to join us for a discussion of the lump sum exit/delinked payment consultation on 23 June @ 7pm. The virtual meeting will feature regional tenants' rep @MartinAgSvs⁠ &amp; NFU national tenancy team.⁠ Book here: https://t.co/C6l9v33s3y @eleanorgriggs23 https://t.co/9AASzN93zI,"York, North Yorkshire",NFUnortheast,1,1,2021-06-18 06:00:46
7,"I renounced my Swedish citizenship Sweden/UK sponsor this US based national criminal impostor Louise Viloria on my behalf. If you see her in my hometowns Gothenburg, London false present my details report to EU/UN, Lea Celik Sommerseth
https://t.co/nEG7mFvzIQ @INTERPOL_SG @UN_PGA https://t.co/EGpZKgdZCO","Tottenham/BrickLane, London UK",leasommerseth,0,0,2021-06-18 05:58:32
8,"The U.S. Open tennis tournament will allow 100% spectator capacity throughout its entire two weeks in 2021.
https://t.co/rWJlCuBsbU","San Diego, CA",10News,0,4,2021-06-18 05:46:00
9,US lawmakers worried UFOs could pose threat to national security https://t.co/cWMyrCncmA https://t.co/ta8qtf4Ngb,"FB, Snap & Insta: FOX2Detroit",FOX2News,0,4,2021-06-18 05:45:11
10,US convicts Russian national behind Kelihos botnet crypting service https://t.co/zEe0VXi3nj,東京都,Pyo0072,0,0,2021-06-18 05:45:10
11,"During a Capitol Hill briefing on June 16, U.S. lawmakers said UFOs could potentially pose a threat to the nation’s security, the New York Post reported.  https://t.co/ViPD761PeA",New York,fox5ny,1,0,2021-06-18 05:45:10
12,"So far you have elevated Jess’ profile to three major National newspapers, one arts paper and a national news channel

Unlike the US, we don’t tolerate witch finders here Andrea…

Thanks for raising Jess’ profile so more can find her exquisite art 😘 https://t.co/QZM2nXJjcQ https://t.co/E5CRjO8fg4",,alliap2,0,0,2021-06-18 05:44:18
13,Heated Debate Before US Catholic Bishops Vote on Communion https://t.co/4ctW18junp,"Washington, D.C.",nbcwashington,0,3,2021-06-18 05:42:53
14,US House Republican becomes first national party to accept donations in cryptocurrency - https://t.co/t3XPtpUwDP https://t.co/1sTuiwXLkF,"Nova Scotia, Canada",BitcoinInfoVIP1,0,0,2021-06-18 05:36:06
15,US House Republican becomes first national party to accept donations in cryptocurrency - https://t.co/cWm9C9HDkC: US House Republican becomes first national party to accept donations in cryptocurrency  https://t.co/cWm9C9HDkC https://t.co/v2hdYM5x6I https://t.co/9WhTv24o2E, Nevada,JourneyTrade,0,0,2021-06-18 05:36:04
16,"‘Something’s going on’: UFOs threaten national security, US politicians warn https://t.co/kxWRqVt9io","53°47' N, 166°35 W",GhostOfDiaby,0,0,2021-06-18 05:30:55
17,"Poet and author Maya Angelou, America’s first woman in space and a revered Cherokee Nation leader are among female trailblazers whose likenesses will appear on the U.S. quarter. https://t.co/E2fAe6hkBk","Greenville, NC",wnct9,0,0,2021-06-18 05:30:12
18,"Poet and author Maya Angelou, America's first woman in space and a revered Cherokee Nation leader are among female trailblazers whose likenesses will appear on the U.S. quarter. https://t.co/FvJRji5s5x","San Mateo, CA",smdailyjournal,0,0,2021-06-18 05:30:06
19,Google reveals list of most misspelled words in US https://t.co/FznUdryz3X,"St. Louis, MO",KPLR11,0,0,2021-06-18 05:20:21
20,"Texas A&amp;M System closed Friday to observe new national holiday – KBTX
ChronLaw 13th Amendment News
https://t.co/6sQgcp8c9L

#13thAmendment #news #law #attorney #lawyer","Houston, TX",ChronLaw,0,0,2021-06-18 05:20:19
21,"No #agedcare plan and yet, there is a 7th edition.

Lies, Falsehood, scandals and no accountability.  Such us the current Federal government. 
#EnoughIsEnough
#auspol
#LNPfail

https://t.co/OqoOze0JZJ","Melbourne, Victoria",AudreyCooke77,0,0,2021-06-18 05:13:08
22,"June 19 is now officially Juneteenth National Independence Day, a US federal holiday commemorating the end of slavery in the United States. https://t.co/pO7TxhU81s","Phoenix, AZ",LemleD,0,0,2021-06-18 05:09:27
23,"If you are feeling overwhelmed by news articles on the pandemic, climate change and the upcoming economic crisis I can recommend a read of ufo's🛸 turning nuclear technologies on and off 🤯

https://t.co/CfesgnDf2v

Maybe its just superman dropping by for tea though🦸‍♂️","Galway, Ireland",AlinaMWieczorek,0,0,2021-06-18 05:06:25
24,"‘Something’s going on’: UFOs threaten national security, US politicians warn https://t.co/G0KAIhEP8R",,DonBlunts,0,0,2021-06-18 05:00:33
25,"Many of us have been working from home for the better part of the last 16 months. Remote work has been helpful, but experts say working from home has amplified our bad habits. https://t.co/FFjJ0HXM23",Baltimore,WMAR2News,0,1,2021-06-18 05:00:00
26,CRYPTO NEWS: US House Republican becomes first national party to accept donations in cryptocurrency https://t.co/c1CIZIAVnF 🙋 Bet with $BTC via ⟶ https://t.co/4h0cyuWSHk √,🇺🇸,CryptoTraderPro,1,0,2021-06-18 04:59:08
27,"Study of the National Institutes of Health offers new evidence of early SARS-CoV-2(the virus that causes COVID-19) infections in U.S. 
https://t.co/9e1PWtIQpq",,ChinaCG_CC,0,0,2021-06-18 04:48:34
28,"What Nero said:
""World’s largest health scheme.. will serve a pop that equals 27-28 EU countries.. beneficiaries are almost equal to the pop of Canada, Mexico &amp; US put together"". 

""Opportunity to serve poor people""

""will strengthen our health services""

https://t.co/WfraE8ScGU https://t.co/F45EbrPgjM https://t.co/nemQ4sXWvp","Gujarat, India",friedpatato,0,1,2021-06-18 04:48:01
29,Minneapolis has 100 National Guardsmen on standby as new gun evidence emerges in Winston Smith shooting https://t.co/dlrxnYPtTZ,"Washington, DC.",GRevmgbrown4,1,0,2021-06-18 04:40:28
30,Heated Debate Before US Catholic Bishops Vote on Communion https://t.co/qudRcPQIt7,South Florida,nbc6,1,0,2021-06-18 04:38:59
31,Heated Debate Before US Catholic Bishops Vote on Communion https://t.co/ODWrHZ4sMq,"San Diego, CA",nbcsandiego,0,1,2021-06-18 04:38:22
32,Heated Debate Before US Catholic Bishops Vote on Communion https://t.co/z7QDjUffqX,Southern California,NBCLA,0,0,2021-06-18 04:36:49
33,"Chinese top official defected to US, gave Biden administration info about Wuhan lab, report suggests | Poll Strategies | Management | Digital Bharat - an Online National Media https://t.co/zmRiLV3hne",India,nirvachan_guru,0,0,2021-06-18 04:35:45
34,Heated Debate Before US Catholic Bishops Vote on Communion https://t.co/5cqQbQZUfG,"Boston, MA",NBC10Boston,1,1,2021-06-18 04:35:17
35,Heated Debate Before US Catholic Bishops Vote on Communion https://t.co/TxYnpkv7Ww https://t.co/cp5qqefBrP,"Chicago, IL",nbcchicago,1,1,2021-06-18 04:33:53
36,SPACEX LAUNCHES GPS SATELLITE ABOARD FALCON 9 ROCKET | CNN | https://t.co/zF1B9yUOV8 https://t.co/xL7RrHPW7Q,39000 FEET,airlinegossip,0,0,2021-06-18 04:33:13
37,Heated Debate Before US Catholic Bishops Vote on Communion https://t.co/0Z0jvJD5jd,Connecticut,NBCConnecticut,0,1,2021-06-18 04:32:03
38,"US officials have voiced optimism about an initial meeting between U.S. national security adviser Jake Sullivan and his Pakistani counterpart, Moeed Yusuf in Geneva.
 #AfghanPeaceAndSouthAsia

https://t.co/lFjUilgDu3","Lahore, Pakistan",PROPaki8,5,3,2021-06-18 04:21:02
39,"CityU shines in the top 100 worldwide universities granted US utility patents by the National Academy of Inventors. This places us at 51st in the world, the highest position in history, and ranks us top among local universities for the 5th consecutive year.https://t.co/xSGUQ3PB5z https://t.co/VQHFoC8ySj",Hong Kong,CityUHongKong,0,2,2021-06-18 04:16:37
