,Content,Location,Username,Retweet-Count,Favorites,Created at
0,@504Tman Seriously?! University of Tennessee in Mississippi?,Memphis Tennessee,labrat1896,0,1,2021-06-18 04:55:06
1,@RandallJSanders @SNChalmers1876 Mississippi?  University of Tennessee?  Right,"Plainfield, IL",FrankUrso7,0,0,2021-06-18 03:08:53
2,2021 Mississippi Glory Premier 16-Kuroda-Sarah Watson and Coach Dunn at the University of Tennessee-Martin Softball Exposure Camp! #ALLIN https://t.co/znqDMZiegG,,xtremedemarini,0,2,2021-06-18 02:14:34
3,"Today, by unanimous consent, the Senate passed   S. Res. 277 (A resolution congratulating the University of Mississippi Rebels women’s golf team on winning the 2021 National Collegiate Athletic Association Division I women’s golf championship).","S-320, U.S. Capitol",SenatePPG,1,6,2021-06-18 00:31:27
4,"""Circumscribing the right to bear arms: The second amendment, gun violence, and gun control in California and Mississippi"" by Fahim Gulamali of @MiamiLawSchool in the University of Miami International and Comparative Law Review https://t.co/NPDmHUt5Nl #ResearchRecap",,Consortium_RBFP,0,0,2021-06-17 21:45:02
5,"(cont.) The name is ""Family Secrets: Divine Destinies."" It is set on the Mississippi State University campus and ends in New York and then Israel. I have authored 6 books. Those and two of your books will be on last pages.",Alabama,petrey_nancy,0,0,2021-06-17 21:34:26
6,Aaaaand I’m out. Thank you McCain Library and University of Southern Mississippi you’ve been very helpful. https://t.co/3rpLmzFRen,Muscogee/Dharawal country ,drkyliesmith,0,12,2021-06-17 21:03:14
7,"$VNUE - NEWS
""RockHouse Live International, the exciting new hybrid live &amp; virtual entertainment-themed restaurant and venue concept"" ... ""is opening a new location in Oxford, MS, home of the University of Mississippi and the Ole Miss football team.""
https://t.co/sINC0XpxrC",San Diego,JeffTaitano,0,4,2021-06-17 20:09:04
8,"Curious about what we're working on at the University of Mississippi School of Journalism and New Media? Check out Insights, where we publish research, creative work, faculty achievements and activities!  💻

https://t.co/K6yf0vpnzW","Oxford, MS",umjourimc,0,0,2021-06-17 19:13:07
9,"Just received in the mail TONI MORRISON AND THE NATURAL WORLD by the great Anissa Janine Wardi, published by the University Press of Mississippi. Check it out.","University Park, PA",keith_gilyard,5,11,2021-06-17 18:31:30
10,"ANNOUNCEMENT|  The University of Mississippi’s gleaming, state-of-the-art basketball and event arena has been officially named the Sandy and John Black Pavilion at @OleMiss in recognition of a $10 million gift from the Madison, MS, couple. #ThankYou!

📰https://t.co/wbVvN1Ksb3 https://t.co/C19fZfutOG","University, MS",OleMissGives,0,8,2021-06-17 18:15:44
11,"Mississippi State University didn’t have the best postseason start, as the Bulldogs were bounced quickly out of the Southeastern Conference tournament. MSU ended up being routed by the University of Florida 1-13 and the University of Tennessee 2-12. https://t.co/Qx6Jy9KBiw https://t.co/li535innlD","Jackson, Mississippi",JxnFreePress,0,0,2021-06-17 18:12:25
12,"A drive to provide the best support and services to military students has vaulted the University of Southern Mississippi to a No. 3 national ranking by Military Times.
 https://t.co/xbxyxJnwW2","Gulfport, Mississippi",WXXV25,0,1,2021-06-17 18:10:00
13,"Introducing another 6 of our amazing PROMISE students: Nga, Keyona, Jared, J’Mya, Nuriya &amp; John Bailey @ University of Mississippi School of Medicine https://t.co/oegINcO1Kb","Jackson, MS",UMMCAdmitMD,2,8,2021-06-17 18:04:07
14,This is Expected from the Flagship University in the state of Mississippi......thats why they come to play in Starkville..........WE GO HARD !! https://t.co/ps1tZ0uP0k,,StateBulldog1,1,14,2021-06-17 17:30:40
