,Content,Location,Username,Retweet-Count,Favorites,Created at
0,@emmettp @katefreebairn @10NewsFirstAdl You obviously haven’t been anywhere near me mate. I’m like a whinging Pom about this godforsaken weather 😜,"Adelaide, South Australia",NathPortlock,0,0,2021-06-18 06:30:43
1,"Rain (moderate rain) with a temperature of 13.2°C, wind speed of 0.9 kmh &amp; 96% humidity. There's 75% cloud cover &amp; visibility of 6.0 km. Rain (light rain) forecast in the next hour.","Abingdon, England",wootton_weather,0,0,2021-06-18 06:30:41
2,"Regina SK Weather, Temp:13.2ºC; Dew:5.4ºC; Pressure:1009.30hPa.; Wind:0/kph@137.0; Humdity:59   https://t.co/6Ptyl5Abtc https://t.co/vfZcUnF6u8",Canada,wxyqr,0,0,2021-06-18 06:30:41
3,"I bought Bunch his own tiny fan so he could sleep comfy in this hot weather. For some reason, my room has poor circulation, so it feels several degrees warmer than the rest of the house. He’s not complaining though, so it’s worth!!","Ultra-fem she/her, 27",Joopis,0,0,2021-06-18 06:30:38
4,"Maweshi Mandi 2021 latest weather updates 18-06-21

#maweshimandi2021 #weatherupdates https://t.co/S1yXsBFxmi",,maweshimandi1,0,0,2021-06-18 06:30:38
5,#GaWx #Dahlonega #Weather  Temp 59.7°F; Humidity 91%; Winds NNW @ 0.0 mph; Rain 0.00 in.; Baro 30.068 in. Steady. #GaWxCond https://t.co/0DwJmNW1Lq,"Dahlonega, Ga",DahlonegaGaWx,0,0,2021-06-18 06:30:38
6,"@HeerJeet As a result, there's not much room for error. Along with all the ""Biden is FDR"" talk was noise that he ""gets"" that Obama was too timid with the stimulus; but it's starting to look like Build Back Pretty Much the Same and that won't weather the next crisis on the horizon.",,jeromenicolas76,0,0,2021-06-18 06:30:36
7,"59F in #Seattle w broken clouds &amp; 5.01mph winds, 64% humidity https://t.co/pqaWPWI4ET https://t.co/mWM8bzNv4b","Seattle, WA",SeeSeattleWX,0,0,2021-06-18 06:30:32
8,"Absolutely stoked to watch #INDvsNZ vs English weather today! 

#WTCFinal",,scheisskopffre1,0,0,2021-06-18 06:30:32
9,"UAE weather: Blowing sand, hotter temperatures, predicted over weekend – News https://t.co/E3ypsUArxN",United States,HelloNiceWorld2,0,0,2021-06-18 06:30:29
10,@ChefMiew It’s Seattle area where the weather is unpredictable. It gets heaps of dramatic conditions.  I’m assuming it’s like a whiskey barrel where the change helpful.,,CuppingHemlock,0,0,2021-06-18 06:30:29
11,"Rain (heavy intensity rain) with a temperature of 13.8°C, wind speed of 0.9 kmh &amp; 95% humidity. There's 90% cloud cover &amp; visibility of 5.0 km. Rain (moderate rain) forecast in the next hour.","Wallingford, England",Wally_Weather,0,0,2021-06-18 06:30:28
12,"@KiwiTiger12 Welcome to the area, Slowy. 
Good track. Hope the weather held off",,Schonaaaah,0,0,2021-06-18 06:30:24
13,@mygirlsmyworldx @SavMondo Hope you got good weather rain for East Midlands for me lol,Nottingham,PaulGallant11,0,0,2021-06-18 06:30:24
14,"Eureka,CA-WXEKA: 23:30; NO CURRENT ADVISORIES; Temp 53.5; RH 81pct; Baro 29.971in-Steady; More weather at https://t.co/tRXJ1F660j https://t.co/tgTOMQx319","Eureka, CA USA",mrmarkel,0,0,2021-06-18 06:30:23
15,"Today's #weather #forecast for #Luxembourg:

Currently sunny and 21°C with 6km/h winds and 83% humidity.
Forecast: low 19°C, high 27°C",Luxembourg,luxweather,0,0,2021-06-18 06:30:22
16,@CricCrazyJohns What is about the weather,India,sekhar31086,0,0,2021-06-18 06:30:22
17,It is the middle of the night and it’s still above 80 degrees how am I supposed to work in this weather?,,realnicjohnson,0,0,2021-06-18 06:30:20
