,Content,Location,Username,Retweet-Count,Favorites,Created at
0,Steven Smith's elbow problem clouds T20 World Cup and Ashes build-up    # #news #daily #package https://t.co/WVpUvkXjv4,"New Delhi, India",my_iplclub,0,0,2021-06-18 06:30:05
1,Scan the World has launched its new crowdfunding campaign on MyMiniFactory @tnatw https://t.co/RCLaRNHpIH via @3dprintindustry,"Brisbane, Qld, Australia",poppymasselos,0,0,2021-06-18 06:30:02
2,"A peak into some of the world#39;s largest diamonds ever discovered 

https://t.co/3Owr0GZIf0 https://t.co/MmwVBInCMH",USA,desiexpress,0,0,2021-06-18 06:30:02
3,"Women of childbearing age should not drink alcohol, the World Health Organization has said. 
https://t.co/7gEQfB4tCr",Philippines,YahooPH,0,0,2021-06-18 06:30:00
4,"The only time they'd been separated before was when Patrick had to go to India during the Second World War 💛

https://t.co/3gx8ps5J4o","Yorkshire, England",yorkshirepost,0,0,2021-06-18 06:30:00
5,"‘Heartbroken’: Yearbook mistake involving cheerleader with Down syndrome under scrutiny
https://t.co/sNGew09vRV","Indianapolis, IN",FOX59,0,0,2021-06-18 06:30:00
6,"Reefs take up less than 1% of the area covered by ocean, they are estimated to be home to more than a third of life under the waves.

Yet they too face an uncertain future as a result of a warming world.
#ActOnClimate #CarbonPollution 
https://t.co/2TirRhKZiV","Glasgow, Scotland",PaulEDawson,0,0,2021-06-18 06:30:00
7,"The 20-year-old claims the manager refused to serve her because of 'her big boobs'

https://t.co/RgzKS8MJ6I","Hull, UK",hulllive,0,0,2021-06-18 06:30:00
8,"Our Digital News Report 2021 is out in FIVE days!

🌍Covering 46 markets representing the views of over half the world's population
🎙92,000+ respondents
💡Insights on impartiality, social media, misinformation, trust in news and more

#DNR21 https://t.co/E6BdXyM76u","University of Oxford, England",risj_oxford,0,0,2021-06-18 06:30:00
9,"#Biden makes #Juneteenth a national holiday, giving federal employees Friday off
 
https://t.co/uZLy2lZlEs https://t.co/GpQ2eBvawk","New Delhi, India",BiIndia,0,0,2021-06-18 06:30:00
10,"MP couple deploys 4 guards, 6 dogs to protect world's costliest mango https://t.co/JJPCO1FbvK",India,josereports,0,0,2021-06-18 06:29:55
11,"@peterxdunn @eileeniorio @pfizer_news Nothing new with British Propaganda Media. Not only  British, its World Wide. Can't believe a word of the Media.","Dublin City, Ireland",DMJames5michael,0,0,2021-06-18 06:29:44
